street_name,year,run_count,total_sqft,appr_growth,sqft_growth
AND MAIN STREET,2019,1.0,0.0,,
ANNETTE DRIVE,2019,1.0,0.0,,
ANSANTE DRIVE,2024,112.0,0.0,,
ANTHONY COURT,2023,1.0,0.0,,
ANTMON ROUND,2020,1.0,0.0,,
ANTMON ROUND,2021,1.0,0.0,,
ANTONIO LANE,2023,2.0,0.0,,
ANTONIO LANE,2024,1.0,0.0,,
APPLE BLOSSOM ROAD SW,2019,1.0,0.0,,
ARBOR LANE,2020,15.0,1075400.0,,
ARBOR LANE,2022,45.0,1075400.0,,
ARBOR LANE,2024,15.0,1075400.0,-0.06124849495230157,0.0
ARBOR ROSE WAY,2018,1.0,0.0,,
ARBOR ROSE WAY,2019,1.0,0.0,,
ARBOR ROSE WAY,2022,1.0,0.0,,
ARBORETUM COURT,2022,1.0,0.0,,
ARBORS CIR,2018,2.0,0.0,,
ARBORS CIR,2019,4.0,0.0,,
ARBORS CIR,2020,2.0,0.0,,
ARBORS CIR,2021,2.0,0.0,,
ARBORS CIRCLE,2022,3.0,0.0,,
ARBORS CIRCLE,2023,4.0,0.0,,
ARBORS CIRCLE,2024,4.0,0.0,,
ARCARO DRIVE,2023,1.0,0.0,,
ARGENTO AVENUE,2022,1.0,0.0,,
ARGENTO AVENUE,2023,2.0,0.0,,
ARLEN DRIVE,2020,2.0,0.0,,
ARLEN DRIVE,2021,1.0,0.0,,
ARLEN DRIVE,2022,2.0,0.0,,
ARMUTH AVENUE,2022,2.0,0.0,,
ARNBRAE DRIVE,2019,1.0,0.0,,
ARNBRAE DRIVE,2021,1.0,0.0,,
ARNBRAE DRIVE,2022,1.0,0.0,,
ASDEN COURT,2018,46.0,916960.0,,
ASDEN COURT,2019,23.0,916960.0,,
ASDEN COURT,2020,69.0,916960.0,,
ASDEN COURT,2021,23.0,916960.0,,
ASDEN COURT,2022,69.0,916960.0,,
ASDEN COURT,2023,138.0,916960.0,,
ASDEN COURT,2024,207.0,916960.0,0.001330092554140965,0.0
ASH GROVE DRIVE,2023,9.0,351800.0,,
ASH GROVE DRIVE,2024,9.0,351800.0,-0.8580776646820047,0.0
ASHCOMBE COURT,2024,1.0,0.0,,
ASHCRAFT AVENUE,2018,2.0,0.0,,
ASHCRAFT AVENUE,2019,1.0,0.0,,
ASHCRAFT AVENUE,2020,2.0,0.0,,
ASHCRAFT AVENUE,2022,1.0,0.0,,
ASHCRAFT AVENUE,2024,1.0,0.0,,
ASHCROFT DRIVE,2022,9.0,390500.0,,
ASHCROFT DRIVE,2023,9.0,390500.0,,
ASHCROFT DRIVE,2024,27.0,390500.0,0.0,0.0
ASHCROFT LOOP,2020,1.0,0.0,,
ASHCROFT LOOP,2022,4.0,0.0,,
ASHCROFT LOOP,2023,3.0,0.0,,
ASHCROFT LOOP,2024,4.0,0.0,,
ASHENDEN DRIVE,2019,75.0,2767160.0,,
ASHENDEN DRIVE,2020,150.0,2767160.0,,
ASHENDEN DRIVE,2021,75.0,2767160.0,,
ASHENDEN DRIVE,2022,150.0,2767160.0,,
ASHENDEN DRIVE,2023,150.0,2767160.0,,
ASHENDEN DRIVE,2024,150.0,2767160.0,0.0,0.0
ASHFORD GLEN COURT,2022,1.0,0.0,,
ASHFORD GLEN DRIVE,2022,1.0,0.0,,
ASHLEY COURT,2021,1.0,0.0,,
ASHLEY COURT,2022,2.0,0.0,,
ASHLEY LANE,2019,1.0,0.0,,
ASHLEY MEADOW DRIVE,2018,18.0,696040.0,,
ASHLEY MEADOW DRIVE,2019,18.0,696040.0,,
ASHLEY MEADOW DRIVE,2021,18.0,696040.0,,
ASHLEY MEADOW DRIVE,2022,18.0,696040.0,,
ASHMEAD DRIVE,2020,1.0,0.0,,
ASHMEAD DRIVE,2022,1.0,0.0,,
ASHMEAD DRIVE,2023,1.0,0.0,,
ASHMEAD DRIVE,2024,2.0,0.0,,
ASHMEAD DRIVE GAHANNA COURT,2024,1.0,0.0,,
ASHWYCK COURT,2022,1.0,0.0,,
ASPEN RIDGE DRIVE,2019,82.0,1295310.0,,
ASPEN RIDGE DRIVE,2020,82.0,1295310.0,,
ASPEN RIDGE DRIVE,2022,287.0,1295310.0,,
ASPEN RIDGE DRIVE,2023,164.0,1295310.0,,
ASTER LANE,2019,1.0,0.0,,
ASTER LANE,2022,1.0,0.0,,
ASTER LANE,2024,1.0,0.0,,
ASTRA CIR,2018,1.0,0.0,,
ASTRA CIR,2019,4.0,0.0,,
ASTRA CIR,2020,1.0,0.0,,
ASTRA CIR,2021,1.0,0.0,,
ASTRA CIRCLE,2022,11.0,0.0,,
ASTRA CIRCLE,2023,22.0,0.0,,
ASTRA CIRCLE,2024,15.0,0.0,,
AUTUMN RUSH COURT,2019,1.0,0.0,,
AUTUMN RUSH COURT,2024,1.0,0.0,,
AVENUE,2022,1.0,0.0,,
AVENUE SW,2020,1.0,0.0,,
AVONWICK PL,2020,2.0,0.0,,
AYLESBURY DRIVE,2019,1.0,0.0,,
AZALEA FIELDS DRIVE,2018,1.0,0.0,,
AZALEA FIELDS DRIVE,2019,1.0,0.0,,
AZALEA FIELDS DRIVE,2021,1.0,0.0,,
AZALEA FIELDS DRIVE,2022,2.0,0.0,,
BABBITT ROAD,2018,33.0,406120.0,,
BABBITT ROAD,2019,22.0,406120.0,,
BABBITT ROAD,2020,11.0,406120.0,,
BABBITT ROAD,2022,33.0,406120.0,,
BABBITT ROAD,2023,22.0,406120.0,,
BABBITT ROAD,2024,22.0,406120.0,0.0,0.0
BALDWIN ROAD,2019,1.0,0.0,,
BALTIMORE-REYNOLDSBURG ROAD,2024,1.0,0.0,,
BANBURY DRIVE,2021,1.0,0.0,,
BANNOCKBURN BOULEVARD,2018,1.0,0.0,,
BANNOCKBURN BOULEVARD,2020,1.0,0.0,,
BANNOCKBURN BOULEVARD,2024,1.0,0.0,,
BANNOCKBURN BOULEVARD COLUMBUS / BROAD STREET COLUMBUS BOULEVARD,2022,1.0,0.0,,
BARLOWE RUN DRIVE,2019,2.0,0.0,,
BARLOWE RUN DRIVE,2020,1.0,0.0,,
BARLOWE RUN DRIVE,2023,1.0,0.0,,
BARNHILL COURT,2019,2.0,0.0,,
BARNHILL COURT,2022,1.0,0.0,,
BARNHILL COURT,2023,1.0,0.0,,
BARON COURT,2022,1.0,0.0,,
BARONESS WAY,2020,1.0,0.0,,
BARONESS WAY,2024,1.0,0.0,,
BARRY KNOLL DRIVE,2021,1.0,0.0,,
BARRY KNOLL DRIVE,2022,1.0,0.0,,
BARWOOD DRIVE,2019,2.0,0.0,,
BARWOOD DRIVE,2020,2.0,0.0,,
BARWOOD DRIVE,2021,1.0,0.0,,
BARWOOD DRIVE,2022,1.0,0.0,,
BATESVILLE DRIVE,2022,150.0,1302600.0,,
BATESVILLE DRIVE,2023,60.0,1302600.0,,
BATESVILLE DRIVE,2024,180.0,1302600.0,-0.359574218962136,0.0
BATESVILLE ROAD,2022,7.0,0.0,,
BAUGHMAN AVENUE,2024,1.0,0.0,,
BAUHAUS STREET,2019,1.0,0.0,,
BAUHAUS STREET,2024,1.0,0.0,,
BAYBORO DRIVE,2020,1.0,0.0,,
BAYBORO DRIVE,2022,1.0,0.0,,
BAYBORO DRIVE,2023,2.0,0.0,,
BEAMISH WAY,2019,1.0,0.0,,
BEAMISH WAY,2022,2.0,0.0,,
BEAMISH WAY,2024,1.0,0.0,,
BEARDSLEY AVENUE,2018,1.0,0.0,,
BEARDSLEY AVENUE,2019,2.0,0.0,,
BEARDSLEY AVENUE,2021,5.0,0.0,,
BEARDSLEY AVENUE,2022,13.0,0.0,,
BEARDSLEY AVENUE,2023,6.0,0.0,,
BEARDSLEY AVENUE,2024,15.0,0.0,,
BEAVERBROOK DRIVE,2022,1.0,0.0,,
BEAVERBROOK DRIVE,2023,2.0,0.0,,
BEAVERBROOK DRIVE,2024,3.0,0.0,,
BEDLINGTON DRIVE,2019,1.0,0.0,,
BEECH ROAD,2022,3.0,0.0,,
BEECH ROAD,2024,4.0,0.0,,
BEECHER COURT,2024,1.0,0.0,,
BEECHER CROSSING,2018,2.0,0.0,,
BEECHER CROSSING,2019,2.0,0.0,,
BEECHER CROSSING,2022,2.0,0.0,,
BEECHER ROAD,2021,1.0,0.0,,
BEECHER ROAD,2023,2.0,0.0,,
BELANGEE DRIVE,2022,48.0,510680.0,,
BELANGEE DRIVE,2024,16.0,510680.0,0.0,0.0
BELHAVEN COURT,2023,7.0,361000.0,,
BELHAVEN DRIVE,2022,96.0,973215.0,,
BELHAVEN DRIVE,2023,72.0,973215.0,,
BELHAVEN DRIVE,2024,240.0,973215.0,-0.12975939524882085,0.000736475840336126
BELLEBROOKE DRIVE,2018,1.0,0.0,,
BELLEBROOKE DRIVE,2019,2.0,0.0,,
BELLEBROOKE DRIVE,2023,1.0,0.0,,
BELLEBROOKE DRIVE,2024,1.0,0.0,,
BELLOW PARK DRIVE,2020,1.0,0.0,,
BELMAR DRIVE SW,2018,2.0,0.0,,
BELMAR DRIVE SW,2019,1.0,0.0,,
BELMONT PLACE,2022,1.0,0.0,,
BELZ-WARNER BOULEVARD,2019,1.0,0.0,,
BEN HALE COURT,2024,38.0,139220.0,inf,
BEND DRIVE SW,2020,1.0,0.0,,
BENHOWER DRIVE,2020,1.0,0.0,,
BENT MAPLE COURT,2022,26.0,487270.0,,
BENT MAPLE COURT,2024,39.0,487270.0,0.006410256410256405,0.0
BENT MAPLE DRIVE,2019,44.0,951440.0,,
BENT MAPLE DRIVE,2021,44.0,951440.0,,
BENT MAPLE DRIVE,2022,132.0,951440.0,,
BENT MAPLE DRIVE,2023,154.0,951440.0,,
BENT MAPLE DRIVE,2024,132.0,951440.0,0.0,0.0
BENT OAK DRIVE,2022,1.0,0.0,,
BENT OAK DRIVE,2023,1.0,0.0,,
BENT OAK DRIVE,2024,3.0,0.0,,
BERGOHOLT STREET,2021,1.0,0.0,,
BERGOHOLT STREET,2022,1.0,0.0,,
BERKLEY SQ,2019,1.0,0.0,,
BERTRAM DRIVE,2023,1.0,0.0,,
BERTRAM PLACE,2024,1.0,0.0,,
BEVELHYMER ROAD,2023,1.0,0.0,,
BEXHILL DRIVE,2018,1.0,0.0,,
BEXHILL DRIVE,2019,2.0,0.0,,
BEXHILL DRIVE,2022,1.0,0.0,,
BEXHILL DRIVE,2023,3.0,0.0,,
BEXHILL DRIVE,2024,1.0,0.0,,
BIGWOOD LOOP,2022,63.0,531360.0,,
BIGWOOD LOOP,2023,630.0,531360.0,,
BIGWOOD LOOP,2024,693.0,531360.0,inf,
BILTMORE DRIVE,2018,19.0,871260.0,,
BILTMORE DRIVE,2020,19.0,871260.0,,
BILTMORE DRIVE,2022,38.0,871260.0,,
BILTMORE DRIVE,2023,19.0,871260.0,,
BILTMORE DRIVE,2024,57.0,871260.0,0.0,0.0
BIRCH CREEK DRIVE,2018,39.0,1258450.0,,
BIRCH CREEK DRIVE,2020,78.0,1258450.0,,
BIRCH CREEK DRIVE,2021,39.0,1258450.0,,
BIRCH CREEK DRIVE,2022,429.0,1258450.0,,
BIRCH CREEK DRIVE,2023,351.0,1258450.0,,
BIRCH CREEK DRIVE,2024,273.0,1258450.0,0.002148702250992871,0.0
BIRDSONG COURT,2019,8.0,541680.0,,
BIRDSONG COURT,2020,8.0,541680.0,,
BIRDSONG COURT,2021,8.0,541680.0,,
BIRDSONG COURT,2023,16.0,541680.0,,
BLACK GOLD AVENUE,2022,1.0,0.0,,
BLACK GOLD AVENUE,2024,1.0,0.0,,
BLACK WILLOW DRIVE,2019,25.0,953420.0,,
BLACK WILLOW DRIVE,2022,200.0,953420.0,,
BLACK WILLOW DRIVE,2023,225.0,953420.0,,
BLACK WILLOW DRIVE,2024,75.0,953420.0,0.001322359040721821,0.0
BLACKLICK RIDGE BOULEVARD,2019,1.0,0.0,,
BLACKLICK RIDGE BOULEVARD,2020,1.0,0.0,,
BLACKLICK RIDGE BOULEVARD,2021,1.0,0.0,,
BLACKLICK RIDGE BOULEVARD,2022,9.0,0.0,,
BLACKLICK RIDGE BOULEVARD,2023,6.0,0.0,,
BLACKLICK RIDGE BOULEVARD,2024,6.0,0.0,,
BLACKLICK VIEW DRIVE,2018,40.0,1452280.0,,
BLACKLICK VIEW DRIVE,2021,80.0,1452280.0,,
BLACKLICK VIEW DRIVE,2022,160.0,1452280.0,,
BLACKLICK VIEW DRIVE,2023,480.0,1452280.0,,
BLACKLICK VIEW DRIVE,2024,360.0,1452280.0,0.0,0.0
BLACKLICKVIEW DRIVE,2019,2.0,63980.0,,
BLACKLICKVIEW DRIVE,2021,4.0,63980.0,,
BLACKLICKVIEW DRIVE,2023,2.0,63980.0,,
BLACKSTONE EDGE DRIVE,2024,1.0,0.0,,
BLATT BOULEVARD,2019,2.0,0.0,,
BLATT BOULEVARD,2021,1.0,0.0,,
BLATT BOULEVARD,2022,2.0,0.0,,
BLATT BOULEVARD,2023,1.0,0.0,,
BLATT BOULEVARD,2024,1.0,0.0,,
BLOSSOM FIELD BOULEVARD,2021,1.0,0.0,,
BLUESTEM AVENUE,2023,1.0,0.0,,
BOBWHITE DRIVE,2022,21.0,1023480.0,,
BOBWHITE DRIVE,2023,42.0,1023480.0,,
BOBWHITE DRIVE,2024,42.0,1023480.0,0.0005696058327637225,0.0
BOHANNON STREET,2019,13.0,655080.0,,
BOHANNON STREET,2023,26.0,655080.0,,
BOHANNON STREET,2024,39.0,655080.0,0.000457993986339833,0.0
BOLD FORBES COURT,2023,7.0,465250.0,,
BOLLINGEN,2020,1.0,0.0,,
BOLLINGEN,2022,1.0,0.0,,
BONNINGTON WAY,2019,1.0,0.0,,
BORDEAUX COURT,2019,1.0,0.0,,
BOREL COURT,2023,1.0,0.0,,
BOUND,2019,1.0,0.0,,
BOWERY BAY LANE,2024,1.0,0.0,,
BOWFIN ROAD,2019,52.0,699700.0,,
BOWFIN ROAD,2022,13.0,699700.0,,
BOWFIN ROAD,2023,39.0,699700.0,,
BRADEN WAY,2022,2.0,29900.0,,
BRADEN WAY,2023,1.0,29900.0,,
BRADEN WAY,2024,2.0,29900.0,0.0,0.0
BRAEBURN COURT,2020,2.0,0.0,,
BRAUNING DRIVE,2021,1.0,0.0,,
BREAD STREET,2021,1.0,0.0,,
BREAD STREET,2022,1.0,0.0,,
BRENSTUHL PARK DRIVE,2018,2.0,0.0,,
BRENSTUHL PARK DRIVE,2019,3.0,0.0,,
BRENSTUHL PARK DRIVE,2020,1.0,0.0,,
BRENSTUHL PARK DRIVE,2022,1.0,0.0,,
BRENSTUHL PARK DRIVE,2024,1.0,0.0,,
BRIAN DRIVE,2019,1.0,0.0,,
BRIANNA DRIVE,2018,1.0,0.0,,
BRIANNA DRIVE,2019,1.0,0.0,,
BRIANNA DRIVE,2020,1.0,0.0,,
BRIANNA DRIVE,2022,1.0,0.0,,
BRIANNA DRIVE,2023,4.0,0.0,,
BRIARCLIFF ROAD,2018,1.0,0.0,,
BRIARCLIFF ROAD,2019,1.0,0.0,,
BRIARCLIFF ROAD,2020,1.0,0.0,,
BRIARO STREET,2018,1.0,0.0,,
BRICE ROAD,2018,2.0,0.0,,
BRICE ROAD,2019,4.0,0.0,,
BRICE ROAD,2020,2.0,0.0,,
BRICE ROAD,2021,1.0,0.0,,
BRICE ROAD,2022,1.0,0.0,,
BRICKSHIRE,2018,1.0,0.0,,
BRIDGESIDE PL,2020,1.0,0.0,,
BRIGHTWELL LANE,2019,1.0,0.0,,
BRISTOL DRIVE SW,2019,1.0,0.0,,
BROA STREET,2022,1.0,0.0,,
BROAD,2022,1.0,0.0,,
BROAD STREET,2018,1798.0,367130.0,,
BROAD STREET,2019,2784.0,367130.0,0.0,0.0
BROAD STREET,2020,696.0,367130.0,,
BROAD STREET,2021,754.0,367130.0,,
BROAD STREET,2022,7076.0,367130.0,0.07224911494834185,
BROAD STREET,2023,7888.0,367130.0,,
BROAD STREET,2024,8584.0,367130.0,0.0004478924975158776,0.0
BROAD STREET / LANCASTER AVENUE STREET,2024,1.0,0.0,,
BROAD STREET COLUMBUS / BANNOCKBURN BOULEVARD COLUMBUS STREET,2023,1.0,0.0,,
BROAD STREET COLUMBUS / EASTPOINTE DRIVE COLUMBUS RIDGE,2022,1.0,0.0,,
BROAD STREET COLUMBUS / HALLOWELL DRIVE COLUMBUS STREET,2022,1.0,0.0,,
BROAD STREET COLUMBUS / REYNOLDSBURG-NEW ALBANY ROAD COLUMBUS STREET,2022,2.0,0.0,,
BROAD STREET COLUMBUS STREET,2024,1.0,0.0,,
BROAD STREET SW,2021,2.0,0.0,,
BROADMOORE BOULEVARD,2019,1.0,0.0,,
BROADSTONE CIRCLE,2023,1.0,0.0,,
BROADWAY STREET,2019,1.0,0.0,,
BROADWAY STREET,2021,1.0,0.0,,
BROADWYN DRIVE,2018,1.0,0.0,,
BROKEN ARROW ROAD,2020,1.0,0.0,,
BROKEN ARROW ROAD,2021,1.0,0.0,,
BROKEN ARROW ROAD,2023,1.0,0.0,,
BROMPTON COURT,2020,1.0,0.0,,
BROOK HOLLOW HOLLOW,2023,1.0,0.0,,
BROOKHAVEN DRIVE,2024,1.0,0.0,,
BROOKHOUSE LANE,2024,1.0,0.0,,
BROOKSEDGE DRIVE,2024,3.0,0.0,,
BROOKSONG CIRCLE,2022,2.0,0.0,,
BROOKSONG CIRCLE,2023,2.0,0.0,,
BROOKSONG CIRCLE,2024,1.0,0.0,,
BROOKSONG WAY,2024,3.0,0.0,,
BROUGHTON AVENUE,2020,1.0,0.0,,
BROUGHTON AVENUE,2023,1.0,0.0,,
BRUEGHEL,2018,1.0,0.0,,
BRUEGHEL,2022,2.0,0.0,,
BRUEGHEL,2023,1.0,0.0,,
BRUNFIELD DRIVE,2023,1.0,0.0,,
BRYN MAWR DRIVE,2021,1.0,0.0,,
BUCKLES COURT,2019,2.0,0.0,,
BUCKLES COURT,2022,3.0,0.0,,
BUCKLES COURT,2023,1.0,0.0,,
BUCKLES COURT,2024,6.0,0.0,,
BUNKER DRIVE,2022,1.0,0.0,,
BUNKER RIDGE COURT,2019,30.0,1169400.0,,
BUNKER RIDGE COURT,2022,90.0,1169400.0,,
BUNKER RIDGE COURT,2023,60.0,1169400.0,,
BUNKER RIDGE COURT,2024,90.0,1169400.0,0.0001954286685359833,0.0
BUNYAN DRIVE,2021,1.0,0.0,,
BUSEY ROAD,2023,1.0,0.0,,
BUSINESS CENTER DRIVE,2019,1.0,0.0,,
BUTTERWORTH GREEN DRIVE,2023,1.0,0.0,,
BUTTONWOOD COURT,2022,1.0,0.0,,
BUTTONWOOD COURT,2023,1.0,0.0,,
BUTTONWOOD COURT,2024,1.0,0.0,,
CABLE ROAD,2022,2.0,0.0,,
CABLE ROAD,2023,1.0,0.0,,
CADY COURT,2018,13.0,493540.0,,
CADY COURT,2020,13.0,493540.0,,
CADY COURT,2022,26.0,493540.0,,
CADY COURT,2023,13.0,493540.0,,
CAITLAN COURT,2019,1.0,0.0,,
CAITLAN COURT,2023,1.0,0.0,,
CALDERDALE STREET,2023,1.0,0.0,,
CALDERDALE STREET,2024,1.0,0.0,,
CALKIN LANE,2024,1.0,0.0,,
CAMPUS OVAL,2023,1.0,0.0,,
CAMPUS ROAD,2023,1.0,0.0,,
CANBY COURT,2022,1.0,0.0,,
CANDLEGLOW ROAD,2023,1.0,0.0,,
CANDORA STREET,2018,25.0,958020.0,,
CANDORA STREET,2019,50.0,958020.0,,
CANDORA STREET,2022,75.0,958020.0,,
CANDORA STREET,2023,225.0,958020.0,,
CANDORA STREET,2024,50.0,958020.0,-0.0029523187459176994,0.0
CANDYTUFT STREET,2018,26.0,270020.0,,
CANDYTUFT STREET,2022,39.0,270020.0,,
CANDYTUFT STREET,2023,39.0,270020.0,,
CANFIELD DRIVE,2019,1.0,0.0,,
CANFIELD DRIVE,2020,1.0,0.0,,
CANFIELD DRIVE,2022,1.0,0.0,,
CANNONADE COURT,2019,1.0,0.0,,
CANTERHURST STREET,2018,24.0,967020.0,,
CANTERHURST STREET,2020,72.0,967020.0,,
CANTERHURST STREET,2021,24.0,967020.0,,
CANTERHURST STREET,2022,144.0,967020.0,,
CANTERHURST STREET,2023,48.0,967020.0,,
CANTERHURST STREET,2024,48.0,967020.0,0.0026579527985570173,0.0
CARLIN COURT,2022,1.0,0.0,,
CARLTON WAY,2018,1.0,0.0,,
CARLTON WAY,2020,2.0,0.0,,
CARLTON WAY,2024,1.0,0.0,,
CARMIE DRIVE,2023,24.0,985500.0,,
CARMIE DRIVE,2024,24.0,985500.0,-0.9689584459114138,0.0
CARO LANE,2024,1.0,0.0,,
CARO PLACE,2022,1.0,0.0,,
CARO PLACE,2023,1.0,0.0,,
CAROWAY BOULEVARD,2018,2.0,0.0,,
CAROWAY BOULEVARD,2019,3.0,0.0,,
CAROWAY BOULEVARD,2020,3.0,0.0,,
CAROWAY BOULEVARD,2021,2.0,0.0,,
CAROWAY BOULEVARD,2022,4.0,0.0,,
CAROWAY BOULEVARD,2023,3.0,0.0,,
CAROWAY BOULEVARD,2024,3.0,0.0,,
CARPENTER ROAD,2023,1.0,0.0,,
CARPENTER ROAD,2024,1.0,0.0,,
CARRIAGE LANE,2019,1.0,0.0,,
CARROLL CIR,2019,2.0,0.0,,
CARROLL CIR,2020,1.0,0.0,,
CARROLL CIRCLE,2023,2.0,0.0,,
CARROLL CIRCLE,2024,3.0,0.0,,
CASTLE PINES DRIVE,2022,1.0,0.0,,
CASWELL DRIVE,2022,2.0,0.0,,
CASWELL DRIVE,2023,4.0,0.0,,
CASWELL DRIVE,2024,3.0,0.0,,
CATALPA RIDGE DRIVE,2024,2.0,0.0,,
CEDAR BRIDGE LANE,2019,3.0,0.0,,
CEDAR BRIDGE LANE,2023,1.0,0.0,,
CEDAR BRIDGE LANE COLUMBUS / REYNOLDSBURG-NEW ALBANY ROAD COLUMBUS LANE,2023,1.0,0.0,,
CEDAR BROOK GLEN,2021,1.0,0.0,,
CEDAR BROOK GLEN,2024,1.0,0.0,,
CEDAR BROOK PLACE,2023,1.0,0.0,,
CEDAR RUN DRIVE,2018,1.0,0.0,,
CEDAR RUN DRIVE,2019,4.0,0.0,,
CEDAR RUN DRIVE,2020,1.0,0.0,,
CEDAR RUN DRIVE,2021,1.0,0.0,,
CEDAR RUN DRIVE,2022,2.0,0.0,,
CEDAR RUN DRIVE,2024,1.0,0.0,,
CEDAR STREET,2019,1.0,0.0,,
CEDAR STREET,2024,1.0,0.0,,
CELOSIA AVENUE,2024,1.0,0.0,,
CENTRAL COLLEGE ROAD,2018,1.0,0.0,,
CENTRAL COLLEGE ROAD,2019,1.0,0.0,,
CENTRAL COLLEGE ROAD,2021,1.0,0.0,,
CENTRAL COLLEGE ROAD,2024,1.0,0.0,,
CHADWOOD DRIVE,2023,1.0,0.0,,
CHALLIS SPRINGS DRIVE,2018,2.0,0.0,,
CHALLIS SPRINGS DRIVE,2021,1.0,0.0,,
CHALLIS SPRINGS DRIVE,2022,1.0,0.0,,
CHALLIS SPRINGS DRIVE,2024,2.0,0.0,,
CHAMPAIGN DRIVE,2018,78.0,1454380.0,,
CHAMPAIGN DRIVE,2019,39.0,1454380.0,,
CHAMPAIGN DRIVE,2020,78.0,1454380.0,,
CHAMPAIGN DRIVE,2021,78.0,1454380.0,,
CHAMPAIGN DRIVE,2022,195.0,1454380.0,,
CHAMPAIGN DRIVE,2023,78.0,1454380.0,,
CHAMPAIGN DRIVE,2024,156.0,1454380.0,0.0008547008547008574,0.0
CHAMPION AVENUE,2023,1.0,0.0,,
CHAPEL STONE ROAD,2019,3.0,0.0,,
CHAPEL STONE ROAD,2021,1.0,0.0,,
CHAPEL STONE ROAD,2023,1.0,0.0,,
CHAPELFIELD ROAD,2019,1.0,0.0,,
CHAPELFIELD ROAD,2020,1.0,0.0,,
CHAPELFIELD ROAD,2021,1.0,0.0,,
CHAPELFIELD ROAD,2024,1.0,0.0,,
CHARLES ROAD SW,2019,1.0,0.0,,
CHARLOTTE HULL COURT,2019,1.0,0.0,,
CHASER STREET,2018,1.0,0.0,,
CHASER STREET,2019,1.0,0.0,,
CHASER STREET,2020,1.0,0.0,,
CHASER STREET,2022,1.0,0.0,,
CHASER STREET,2024,1.0,0.0,,
CHATEAUGAY WAY,2019,1.0,0.0,,
CHATEAUGAY WAY,2021,1.0,0.0,,
CHATEAUGAY WAY,2022,1.0,0.0,,
CHATEAUGAY WAY,2023,5.0,0.0,,
CHATEAUGAY WAY,2024,1.0,0.0,,
CHATTERTON ROAD,2018,1.0,0.0,,
CHATWOOD LOOP,2022,12.0,220774.0,,
CHATWOOD LOOP,2023,6.0,220774.0,,
CHATWOOD LOOP,2024,6.0,220774.0,0.0,0.0
CHERRY BOTTOM ROAD,2018,1.0,0.0,,
CHERRY LAUREL STREET,2024,1.0,0.0,,
