agency_fdid,basic_incident_number_fd1,basic_incident_date_original_fd13,basic_incident_year_fd13,basic_incident_type_code_fd121,basic_incident_type_fd121,basic_aid_given_or_received_code_fd122,basic_aid_given_or_received_fd122,basic_property_use_category_fd146,basic_property_use_code_fd146,basic_property_use_fd146,basic_incident_full_street_address,basic_incident_city_name_fd116,basic_incident_state_fd118,basic_incident_postal_code_fd119,incident_number_original,incident_year,incident_number_cleaned
25115,2025001171,2025-07-21,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,1273 CANDORA Street,Blacklick,OH,43004,2025001171,2025,2025001171
25115,2025001170,2025-07-21,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,1543 BENT MAPLE Drive,Blacklick,OH,43004,2025001170,2025,2025001170
25115,2025001169,2025-07-20,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,8001 HEADWATER Drive,Blacklick,OH,43004,2025001169,2025,2025001169
25115,2025001168,2025-07-20,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,7534 BLACKLICK RIDGE Boulevard,Blacklick,OH,43004,2025001168,2025,2025001168
25115,2025001167,2025-07-20,2025.0,554.0,Assist invalid,4.0,Automatic aid given,,,,14910 HAVENS CORNERS Road Southwest,Pataskala,OH,43062,2025001167,2025,2025001167
25115,2025001166,2025-07-20,2025.0,321.0,"EMS call, excluding vehicle accident with injury",2.0,Automatic aid received,4 - Residential,419,1 or 2 family dwelling,7754 ASTRA Circle,Reynoldsburg,OH,43068,2025001166,2025,2025001166
25115,2025001165,2025-07-20,2025.0,321.0,"EMS call, excluding vehicle accident with injury",2.0,Automatic aid received,8 - Storage,891,Warehouse,8525 East BROAD Street,Reynoldsburg,OH,43068,2025001165,2025,2025001165
25115,2025001164,2025-07-20,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,400,"Residential, other",2982 CREEKWOOD ESTATES Drive,Blacklick,OH,43004,2025001164,2025,2025001164
25115,2025001163,2025-07-19,2025.0,554.0,Assist invalid,,,4 - Residential,429,Multifamily dwelling,933 TAYLOR STATION Road,Gahanna,OH,43230,2025001163,2025,2025001163
25115,2025001162,2025-07-19,2025.0,500.0,"Service call, other",,,4 - Residential,400,"Residential, other",7788 FREESIA Street,Blacklick,OH,43004,2025001162,2025,2025001162
25115,2025001161,2025-07-19,2025.0,611.0,Dispatched and cancelled en route,4.0,Automatic aid given,,,,200 MARKET Street,New Albany,OH,43054,2025001161,2025,2025001161
25115,2025001160,2025-07-19,2025.0,324.0,Motor vehicle accident with no injuries.,,,4 - Residential,400,"Residential, other",8219 ROYAL ELM Drive,Blacklick,OH,43004,2025001160,2025,2025001160
25115,2025001159,2025-07-19,2025.0,321.0,"EMS call, excluding vehicle accident with injury",4.0,Automatic aid given,,,,657 EASTGATE Parkway,Gahanna,OH,43230,2025001159,2025,2025001159
25115,2025001158,2025-07-19,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,429,Multifamily dwelling,933 TAYLOR STATION Road,Gahanna,OH,43230,2025001158,2025,2025001158
25115,2025001157,2025-07-19,2025.0,611.0,Dispatched and cancelled en route,2.0,Automatic aid received,,,,81 SCENIC Road,Blacklick,OH,43004,2025001157,2025,2025001157
25115,2025001156,2025-07-19,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,2502 KELTONHURST Court,Blacklick,OH,43004,2025001156,2025,2025001156
25115,2025001155,2025-07-18,2025.0,424.0,Carbon monoxide incident,,,4 - Residential,419,1 or 2 family dwelling,2573 SWISHER CREEK Drive,Blacklick,OH,43004,2025001155,2025,2025001155
25115,2025001154,2025-07-18,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,8084 KENNEDY Road,Blacklick,OH,43004,2025001154,2025,2025001154
25115,2025001153,2025-07-18,2025.0,321.0,"EMS call, excluding vehicle accident with injury",4.0,Automatic aid given,,,,748 TAYLOR Road,Gahanna,OH,43230,2025001153,2025,2025001153
25115,2025001152,2025-07-18,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,1957 SURREY Road,Blacklick,OH,43004,2025001152,2025,2025001152
25115,2025001151,2025-07-18,2025.0,651.0,"Smoke scare, odor of smoke",,,4 - Residential,419,1 or 2 family dwelling,7160 CLARK STATE Road,Blacklick,OH,43004,2025001151,2025,2025001151
25115,2025001150,2025-07-18,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,8244 RED OAK Drive,Blacklick,OH,43004,2025001150,2025,2025001150
25115,2025001149,2025-07-17,2025.0,321.0,"EMS call, excluding vehicle accident with injury",2.0,Automatic aid received,1 - Assembly,161,Restaurant or cafeteria,7995 East BROAD Street,Reynoldsburg,OH,43068,2025001149,2025,2025001149
25115,2025001148,2025-07-17,2025.0,321.0,"EMS call, excluding vehicle accident with injury",2.0,Automatic aid received,4 - Residential,419,1 or 2 family dwelling,7754 ASTRA Circle,Reynoldsburg,OH,43068,2025001148,2025,2025001148
25115,2025001147,2025-07-17,2025.0,5535.0,CP - Standard Visit,,,4 - Residential,419,1 or 2 family dwelling,775 HAWKS CREST Lane,Blacklick,OH,43004,2025001147,2025,2025001147
25115,2025001146,2025-07-17,2025.0,611.0,Dispatched and cancelled en route,4.0,Automatic aid given,,,,11472 BROAD Street Southwest,City of Pataskala,OH,43062,2025001146,2025,2025001146
25115,2025001145,2025-07-17,2025.0,5535.0,CP - Standard Visit,,,4 - Residential,419,1 or 2 family dwelling,7577 CLARK STATE Road,Blacklick,OH,43004,2025001145,2025,2025001145
25115,2025001144,2025-07-17,2025.0,554.0,Assist invalid,,,4 - Residential,419,1 or 2 family dwelling,1074 HERITAGE Street,Blacklick,OH,43004,2025001144,2025,2025001144
25115,2025001143,2025-07-17,2025.0,5535.0,CP - Standard Visit,,,4 - Residential,419,1 or 2 family dwelling,8677 GREYLAG Street,Blacklick,OH,43004,2025001143,2025,2025001143
25115,2025001142,2025-07-17,2025.0,611.0,Dispatched and cancelled en route,4.0,Automatic aid given,,,,8825 SMITHS MILL Road North,New Albany,OH,43054,2025001142,2025,2025001142
25115,2025001141,2025-07-17,2025.0,554.0,Assist invalid,,,4 - Residential,419,1 or 2 family dwelling,1074 HERITAGE Street,Blacklick,OH,43004,2025001141,2025,2025001141
25115,2025001140,2025-07-17,2025.0,5535.0,CP - Standard Visit,,,4 - Residential,419,1 or 2 family dwelling,537 STREAMWATER Drive,Blacklick,OH,43004,2025001140,2025,2025001140
25115,2025001139,2025-07-17,2025.0,743.0,"Smoke detector activation, no fire - unintentional",,,4 - Residential,419,1 or 2 family dwelling,7812 ANSANTE Drive,New Albany,OH,43054,2025001139,2025,2025001139
25115,2025001138,2025-07-17,2025.0,5535.0,CP - Standard Visit,,,4 - Residential,419,1 or 2 family dwelling,3086 MANN Road,Blacklick,OH,43004,2025001138,2025,2025001138
25115,2025001137,2025-07-17,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,2641 SKELTON Lane,Blacklick,OH,43004,2025001137,2025,2025001137
25115,2025001136,2025-07-17,2025.0,553.0,Public service,,,4 - Residential,419,1 or 2 family dwelling,9272 SHADWICK Way,Blacklick,OH,43004,2025001136,2025,2025001136
25115,2025001135,2025-07-16,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,2641 SKELTON Lane,Blacklick,OH,43004,2025001135,2025,2025001135
25115,2025001134,2025-07-16,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,8967 PHILMONT CURVE Drive,Blacklick,OH,43004,2025001134,2025,2025001134
25115,2025001133,2025-07-16,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,1074 HERITAGE Street,Blacklick,OH,43004,2025001133,2025,2025001133
25115,2025001132,2025-07-16,2025.0,746.0,"Carbon monoxide detector activation, no CO",,,4 - Residential,419,1 or 2 family dwelling,1220 SNIPE VIEW Loop West,Blacklick,OH,43004,2025001132,2025,2025001132
25115,2025001131,2025-07-16,2025.0,554.0,Assist invalid,,,4 - Residential,419,1 or 2 family dwelling,8403 ALMOND PARK Drive,Blacklick,OH,43004,2025001131,2025,2025001131
25115,2025001130,2025-07-16,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,933 TAYLOR STATION Road,Gahanna,OH,43230,2025001130,2025,2025001130
25115,2025001129,2025-07-15,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,7883 PRAIRIE WILLOW Drive,Blacklick,OH,43004,2025001129,2025,2025001129
25115,2025001128,2025-07-15,2025.0,321.0,"EMS call, excluding vehicle accident with injury",2.0,Automatic aid received,4 - Residential,419,1 or 2 family dwelling,7286 POPPY HILLS Court,Blacklick,OH,43004,2025001128,2025,2025001128
25115,2025001127,2025-07-15,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,8149 CLARK STATE Road,Blacklick,OH,43004,2025001127,2025,2025001127
25115,2025001126,2025-07-15,2025.0,745.0,"Alarm system activation, no fire - unintentional",4.0,Automatic aid given,,,,1101 BEECH Road Southwest,New Albany,OH,43054,2025001126,2025,2025001126
25115,2025001125,2025-07-15,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,1139 OAK HILL Road,Blacklick,OH,43004,2025001125,2025,2025001125
25115,2025001124,2025-07-14,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,7766 FREESIA Street,Blacklick,OH,43004,2025001124,2025,2025001124
25115,2025001123,2025-07-14,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,1 - Assembly,161,Restaurant or cafeteria,6755 TAYLOR Road,Blacklick,OH,43004,2025001123,2025,2025001123
25115,2025001122,2025-07-14,2025.0,611.0,Dispatched and cancelled en route,4.0,Automatic aid given,,,,6367 KITZMILLER Road,New Albany,OH,43054,2025001122,2025,2025001122
25115,2025001121,2025-07-14,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,3240 MANN Road,Blacklick,OH,43004,2025001121,2025,2025001121
25115,2025001120,2025-07-14,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,3240 MANN Road,Blacklick,OH,43004,2025001120,2025,2025001120
25115,2025001119,2025-07-14,2025.0,321.0,"EMS call, excluding vehicle accident with injury",2.0,Automatic aid received,4 - Residential,419,1 or 2 family dwelling,234 DEER TRAIL Court,Reynoldsburg,OH,43068,2025001119,2025,2025001119
25115,2025001118,2025-07-13,2025.0,743.0,"Smoke detector activation, no fire - unintentional",,,4 - Residential,419,1 or 2 family dwelling,991 VANWERT Loop,Blacklick,OH,43004,2025001118,2025,2025001118
25115,2025001117,2025-07-13,2025.0,745.0,"Alarm system activation, no fire - unintentional",,,4 - Residential,419,1 or 2 family dwelling,1290 CANDORA Street,Blacklick,OH,43004,2025001117,2025,2025001117
25115,2025001116,2025-07-13,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,1 - Assembly,131,"Church, mosque, synagogue, temple, chapel",3600 North WAGGONER Road,Blacklick,OH,43004,2025001116,2025,2025001116
25115,2025001115,2025-07-12,2025.0,611.0,Dispatched and cancelled en route,4.0,Automatic aid given,,,,561 THEORI Avenue,Gahanna,OH,43230,2025001115,2025,2025001115
25115,2025001114,2025-07-12,2025.0,611.0,Dispatched and cancelled en route,4.0,Automatic aid given,,,,9940 JOHNSTOWN Road,New Albany,OH,43054,2025001114,2025,2025001114
25115,2025001113,2025-07-12,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,8 - Storage,888,Fire station,6767 HAVENS CORNERS Road,Blacklick,OH,43004,2025001113,2025,2025001113
25115,2025001112,2025-07-11,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,2805 NEWBERN Drive West,Blacklick,OH,43004,2025001112,2025,2025001112
25115,2025001111,2025-07-11,2025.0,321.0,"EMS call, excluding vehicle accident with injury",2.0,Automatic aid received,4 - Residential,419,1 or 2 family dwelling,524 STRATSHIRE Lane,Gahanna,OH,43230,2025001111,2025,2025001111
25115,2025001110,2025-07-11,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,7837 HEADWATER Drive,Blacklick,OH,43004,2025001110,2025,2025001110
25115,2025001109,2025-07-11,2025.0,611.0,Dispatched and cancelled en route,4.0,Automatic aid given,,,,1025 ASHMEAD Drive,Gahanna,OH,43230,2025001109,2025,2025001109
25115,2025001108,2025-07-11,2025.0,321.0,"EMS call, excluding vehicle accident with injury",4.0,Automatic aid given,,,,834 WALBRIDGE Drive,Gahanna,OH,43230,2025001108,2025,2025001108
25115,2025001107,2025-07-11,2025.0,611.0,Dispatched and cancelled en route,,,,,,6889 MORSE Road,New Albany,OH,43054,2025001107,2025,2025001107
25115,2025001106,2025-07-11,2025.0,6712.0,"CO Investigation, no detector - nothing found",,,4 - Residential,400,"Residential, other",7505 BLACKLICK RIDGE Boulevard,Blacklick,OH,43004,2025001106,2025,2025001106
25115,2025001105,2025-07-11,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,1 - Assembly,142,Clubhouse,3347 DUETTE Drive,New Albany,OH,43054,2025001105,2025,2025001105
25115,2025001104,2025-07-10,2025.0,745.0,"Alarm system activation, no fire - unintentional",,,4 - Residential,419,1 or 2 family dwelling,1267 TARA PIPER Lane,Blacklick,OH,43004,2025001104,2025,2025001104
25115,2025001103,2025-07-10,2025.0,322.0,Motor vehicle accident with injuries,,,9 - Outside or Special Property,962,"Residential street, road or residential driveway",CLARK STATE Road and Headly Rd,Gahanna,OH,43230,2025001103,2025,2025001103
25115,2025001102,2025-07-10,2025.0,321.0,"EMS call, excluding vehicle accident with injury",2.0,Automatic aid received,"5 - Mercantile, Business",592,Bank,8079 East BROAD Street,Reynoldsburg,OH,43068,2025001102,2025,2025001102
25115,2025001101,2025-07-10,2025.0,111.0,Building fire,4.0,Automatic aid given,,,,8390 PINEY ORCHARD,Blacklick,OH,43004,2025001101,2025,2025001101
25115,2025001100,2025-07-10,2025.0,554.0,Assist invalid,,,4 - Residential,419,1 or 2 family dwelling,2899 North REYNOLDSBURG NEW ALBANY Road,Blacklick,OH,43004,2025001100,2025,2025001100
25115,2025001099,2025-07-10,2025.0,735.0,Alarm system sounded due to malfunction,,,4 - Residential,419,1 or 2 family dwelling,991 VANWERT Loop,Blacklick,OH,43004,2025001099,2025,2025001099
25115,2025001098,2025-07-10,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,1977 HAVENSWOOD Place,Blacklick,OH,43004,2025001098,2025,2025001098
25115,2025001097,2025-07-09,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,5605 HAVENS CORNERS Road,Gahanna,OH,43230,2025001097,2025,2025001097
25115,2025001096,2025-07-09,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,7577 CLARK STATE Road,Blacklick,OH,43004,2025001096,2025,2025001096
25115,2025001095,2025-07-09,2025.0,321.0,"EMS call, excluding vehicle accident with injury",2.0,Automatic aid received,8 - Storage,891,Warehouse,8525 East BROAD Street,Reynoldsburg,OH,43068,2025001095,2025,2025001095
25115,2025001094,2025-07-09,2025.0,551.0,Assist police or other governmental agency,,,9 - Outside or Special Property,962,"Residential street, road or residential driveway",8149 CLARK STATE Road,Blacklick,OH,43004,2025001094,2025,2025001094
25115,2025001093,2025-07-09,2025.0,322.0,Motor vehicle accident with injuries,2.0,Automatic aid received,9 - Outside or Special Property,962,"Residential street, road or residential driveway",8149 CLARK STATE Road,Blacklick,OH,43004,2025001093,2025,2025001093
25115,2025001092,2025-07-09,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,3075 MANN Road,Gahanna,OH,43230,2025001092,2025,2025001092
25115,2025001091,2025-07-09,2025.0,322.0,Motor vehicle accident with injuries,4.0,Automatic aid given,9 - Outside or Special Property,963,Street or road in commercial area,"East BROAD Street and E BROAD ST, COLUMBUS",COLUMBUS,OH,43004,2025001091,2025,2025001091
25115,2025001090,2025-07-08,2025.0,321.0,"EMS call, excluding vehicle accident with injury",2.0,Automatic aid received,4 - Residential,419,1 or 2 family dwelling,2504 ASHCROFT Loop,Blacklick,OH,43004,2025001090,2025,2025001090
25115,2025001089,2025-07-08,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,396 ROCKY SPRINGS Drive,Blacklick,OH,43004,2025001089,2025,2025001089
25115,2025001088,2025-07-08,2025.0,554.0,Assist invalid,,,4 - Residential,419,1 or 2 family dwelling,222 DEER TRAIL Road,Reynoldsburg,OH,43068,2025001088,2025,2025001088
25115,2025001087,2025-07-08,2025.0,322.0,Motor vehicle accident with injuries,2.0,Automatic aid received,9 - Outside or Special Property,962,"Residential street, road or residential driveway",3375 KITZMILLER Road,New Albany,OH,43054,2025001087,2025,2025001087
25115,2025001086,2025-07-08,2025.0,611.0,Dispatched and cancelled en route,4.0,Automatic aid given,,,,East BROAD Street and N WAGGONER RD,COLUMBUS,OH,43004,2025001086,2025,2025001086
25115,2025001085,2025-07-08,2025.0,321.0,"EMS call, excluding vehicle accident with injury",2.0,Automatic aid received,8 - Storage,891,Warehouse,8525 East BROAD Street,Reynoldsburg,OH,43068,2025001085,2025,2025001085
25115,2025001084,2025-07-08,2025.0,321.0,"EMS call, excluding vehicle accident with injury",2.0,Automatic aid received,4 - Residential,429,Multifamily dwelling,34 KIPATRICK Drive,Blacklick,OH,43004,2025001084,2025,2025001084
25115,2025001083,2025-07-07,2025.0,322.0,Motor vehicle accident with injuries,4.0,Automatic aid given,,,,7167 East BROAD Street,Reynoldsburg,OH,43068,2025001083,2025,2025001083
25115,2025001082,2025-07-07,2025.0,6712.0,"CO Investigation, no detector - nothing found",,,4 - Residential,419,1 or 2 family dwelling,8051 WILLOW BROOK CROSSING Drive,Blacklick,OH,43004,2025001082,2025,2025001082
25115,2025001081,2025-07-06,2025.0,554.0,Assist invalid,,,4 - Residential,429,Multifamily dwelling,933 TAYLOR STATION Road,Gahanna,OH,43230,2025001081,2025,2025001081
25115,2025001080,2025-07-06,2025.0,321.0,"EMS call, excluding vehicle accident with injury",2.0,Automatic aid received,4 - Residential,419,1 or 2 family dwelling,7883 PRAIRIE WILLOW Drive,Blacklick,OH,43004,2025001080,2025,2025001080
25115,2025001079,2025-07-06,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,1 - Assembly,124,Playground,7494 CLARK STATE Road,New Albany,OH,43054,2025001079,2025,2025001079
25115,2025001078,2025-07-06,2025.0,611.0,Dispatched and cancelled en route,,,,,,8058 KENNEDY Road,Blacklick,OH,43004,2025001078,2025,2025001078
25115,2025001077,2025-07-06,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,429,Multifamily dwelling,700 North REYNOLDSBURG NEW ALBANY Road,Blacklick,OH,43004,2025001077,2025,2025001077
25115,2025001076,2025-07-05,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,1152 MC NEIL Drive,Blacklick,OH,43004,2025001076,2025,2025001076
25115,2025001075,2025-07-05,2025.0,321.0,"EMS call, excluding vehicle accident with injury",2.0,Automatic aid received,"5 - Mercantile, Business",539,"Household goods, sales, repairs",8173 East BROAD Street,Reynoldsburg,OH,43068,2025001075,2025,2025001075
25115,2025001074,2025-07-05,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,2899 North REYNOLDSBURG NEW ALBANY Road,Blacklick,OH,43004,2025001074,2025,2025001074
25115,2025001073,2025-07-05,2025.0,321.0,"EMS call, excluding vehicle accident with injury",2.0,Automatic aid received,"5 - Mercantile, Business",571,"Service station, gas station",7905 East BROAD Street,Reynoldsburg,OH,43068,2025001073,2025,2025001073
25115,2025001072,2025-07-05,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,845 HAWKS CREST Lane,Blacklick,OH,43004,2025001072,2025,2025001072
25115,2025001071,2025-07-05,2025.0,554.0,Assist invalid,,,4 - Residential,429,Multifamily dwelling,933 TAYLOR STATION Road,Gahanna,OH,43230,2025001071,2025,2025001071
25115,2025001070,2025-07-04,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,9085 WAYSIDE Drive,Blacklick,OH,43004,2025001070,2025,2025001070
25115,2025001069,2025-07-04,2025.0,743.0,"Smoke detector activation, no fire - unintentional",,,4 - Residential,419,1 or 2 family dwelling,1365 OAK HILL Road,Blacklick,OH,43004,2025001069,2025,2025001069
25115,2025001068,2025-07-04,2025.0,322.0,Motor vehicle accident with injuries,2.0,Automatic aid received,9 - Outside or Special Property,963,Street or road in commercial area,HAVENS CORNERS Road and REYNOLDSBURG NEW ALBANY,JEFFERSON TWP,OH,43004,2025001068,2025,2025001068
25115,2025001067,2025-07-03,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,7501 MORSE Road,New Albany,OH,43054,2025001067,2025,2025001067
25115,2025001066,2025-07-03,2025.0,611.0,Dispatched and cancelled en route,2.0,Automatic aid received,,,,7409 MINK Street Southwest,Pataskala,OH,43062,2025001066,2025,2025001066
25115,2025001065,2025-07-03,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,1291 POPPY HILLS Drive,Blacklick,OH,43004,2025001065,2025,2025001065
25115,2025001064,2025-07-03,2025.0,324.0,Motor vehicle accident with no injuries.,2.0,Automatic aid received,9 - Outside or Special Property,963,Street or road in commercial area,7368 East BROAD Street,Blacklick,OH,43004,2025001064,2025,2025001064
25115,2025001063,2025-07-02,2025.0,743.0,"Smoke detector activation, no fire - unintentional",,,4 - Residential,419,1 or 2 family dwelling,7910 ASPEN RIDGE Drive,Blacklick,OH,43004,2025001063,2025,2025001063
25115,2025001062,2025-07-02,2025.0,324.0,Motor vehicle accident with no injuries.,,,9 - Outside or Special Property,962,"Residential street, road or residential driveway",7235 HAVENS Road,Blacklick,OH,43004,2025001062,2025,2025001062
25115,2025001061,2025-07-02,2025.0,733.0,Smoke detector activation due to malfunction,4.0,Automatic aid given,,,,532 STONE SHADOW Drive,Blacklick,OH,43004,2025001061,2025,2025001061
