incident_id,date,year,month,day,inc_type_code,inc_type_cat,inc_type_desc,prop_use_code,prop_use_cat,prop_use_desc,aid_code,aid_desc,address,agency_name,addr_norm,parcel_id
2025001176,2025-07-22 11:39:55,2025,7.0,22.0,736,7 - False Alarm & False Call,CO detector activation due to malfunction,419,4 - Residential,1 or 2 family dwelling,,,7691 DEER PARK Way 43068,Jefferson Township Fire Department,7691 DEER PARK WAY,
2025001175,2025-07-22 10:41:51,2025,7.0,22.0,321,3 - Rescue & Emergency Medical Service Incident,"EMS call, excluding vehicle accident with injury",419,4 - Residential,1 or 2 family dwelling,,,970 VANWERT Loop 43004,Jefferson Township Fire Department,970 VANWERT LOOP,
2025001174,2025-07-22 10:03:23,2025,7.0,22.0,321,3 - Rescue & Emergency Medical Service Incident,"EMS call, excluding vehicle accident with injury",599,"5 - Mercantile, Business",Business office,2,2 - Automatic aid received,8455 East BROAD Street 43068,Jefferson Township Fire Department,8455 BROAD STREET,
2025001173,2025-07-22 05:53:20,2025,7.0,22.0,321,3 - Rescue & Emergency Medical Service Incident,"EMS call, excluding vehicle accident with injury",419,4 - Residential,1 or 2 family dwelling,,,8842 BELHAVEN Court 43004,Jefferson Township Fire Department,8842 BELHAVEN COURT,
2025001172,2025-07-21 18:29:34,2025,7.0,21.0,321,3 - Rescue & Emergency Medical Service Incident,"EMS call, excluding vehicle accident with injury",311,"3 - Health Care, Detention & Correction","24-hour care Nursing homes, 4 or more persons",2,2 - Automatic aid received,5201 MORSE Road 43230,Jefferson Township Fire Department,5201 MORSE ROAD,
2025001171,2025-07-21 12:02:30,2025,7.0,21.0,321,3 - Rescue & Emergency Medical Service Incident,"EMS call, excluding vehicle accident with injury",419,4 - Residential,1 or 2 family dwelling,,,1273 CANDORA Street 43004,Jefferson Township Fire Department,1273 CANDORA STREET,
2025001170,2025-07-21 07:50:11,2025,7.0,21.0,321,3 - Rescue & Emergency Medical Service Incident,"EMS call, excluding vehicle accident with injury",419,4 - Residential,1 or 2 family dwelling,,,1543 BENT MAPLE Drive 43004,Jefferson Township Fire Department,1543 BENT MAPLE DRIVE,
2025001169,2025-07-20 19:31:33,2025,7.0,20.0,321,3 - Rescue & Emergency Medical Service Incident,"EMS call, excluding vehicle accident with injury",419,4 - Residential,1 or 2 family dwelling,,,8001 HEADWATER Drive 43004,Jefferson Township Fire Department,8001 HEADWATER DRIVE,
2025001168,2025-07-20 17:25:13,2025,7.0,20.0,321,3 - Rescue & Emergency Medical Service Incident,"EMS call, excluding vehicle accident with injury",419,4 - Residential,1 or 2 family dwelling,,,7534 BLACKLICK RIDGE Boulevard 43004,Jefferson Township Fire Department,7534 BLACKLICK RIDGE BOULEVARD,
2025001167,2025-07-20 10:35:59,2025,7.0,20.0,554,5 - Service Call,Assist invalid,,,,4,4 - Automatic aid given,14910 HAVENS CORNERS Road 43062,Jefferson Township Fire Department,14910 HAVENS CORNERS ROAD,
2025001166,2025-07-20 09:04:15,2025,7.0,20.0,321,3 - Rescue & Emergency Medical Service Incident,"EMS call, excluding vehicle accident with injury",419,4 - Residential,1 or 2 family dwelling,2,2 - Automatic aid received,7754 ASTRA Circle 43068,Jefferson Township Fire Department,7754 ASTRA CIRCLE,
2025001165,2025-07-20 08:08:07,2025,7.0,20.0,321,3 - Rescue & Emergency Medical Service Incident,"EMS call, excluding vehicle accident with injury",891,8 - Storage,Warehouse,2,2 - Automatic aid received,8525 East BROAD Street 43068,Jefferson Township Fire Department,8525 BROAD STREET,
2025001164,2025-07-20 00:17:57,2025,7.0,20.0,321,3 - Rescue & Emergency Medical Service Incident,"EMS call, excluding vehicle accident with injury",400,4 - Residential,"Residential, other",,,2982 CREEKWOOD ESTATES Drive 43004,Jefferson Township Fire Department,2982 CREEKWOOD ESTATES DRIVE,
2025001163,2025-07-19 16:22:23,2025,7.0,19.0,554,5 - Service Call,Assist invalid,429,4 - Residential,Multifamily dwelling,,,933 TAYLOR STATION Road 43230,Jefferson Township Fire Department,933 TAYLOR STATION ROAD,
2025001162,2025-07-19 15:58:02,2025,7.0,19.0,500,5 - Service Call,"Service call, other",400,4 - Residential,"Residential, other",,,7788 FREESIA Street 43004,Jefferson Township Fire Department,7788 FREESIA STREET,
2025001161,2025-07-19 13:28:30,2025,7.0,19.0,611,6 - Good Intent Call,Dispatched and cancelled en route,,,,4,4 - Automatic aid given,200 MARKET Street 43054,Jefferson Township Fire Department,200 MARKET STREET,
2025001160,2025-07-19 09:56:36,2025,7.0,19.0,324,3 - Rescue & Emergency Medical Service Incident,Motor vehicle accident with no injuries.,400,4 - Residential,"Residential, other",,,8219 ROYAL ELM Drive 43004,Jefferson Township Fire Department,8219 ROYAL ELM DRIVE,
2025001159,2025-07-19 08:58:45,2025,7.0,19.0,321,3 - Rescue & Emergency Medical Service Incident,"EMS call, excluding vehicle accident with injury",,,,4,4 - Automatic aid given,657 EASTGATE Parkway 43230,Jefferson Township Fire Department,657 EASTGATE PARKWAY,
2025001158,2025-07-19 08:21:33,2025,7.0,19.0,321,3 - Rescue & Emergency Medical Service Incident,"EMS call, excluding vehicle accident with injury",429,4 - Residential,Multifamily dwelling,,,933 TAYLOR STATION Road 43230,Jefferson Township Fire Department,933 TAYLOR STATION ROAD,
2025001157,2025-07-19 07:36:28,2025,7.0,19.0,611,6 - Good Intent Call,Dispatched and cancelled en route,,,,2,2 - Automatic aid received,81 SCENIC Road 43004,Jefferson Township Fire Department,81 SCENIC ROAD,
2025001156,2025-07-19 02:54:59,2025,7.0,19.0,321,3 - Rescue & Emergency Medical Service Incident,"EMS call, excluding vehicle accident with injury",419,4 - Residential,1 or 2 family dwelling,,,2502 KELTONHURST Court 43004,Jefferson Township Fire Department,2502 KELTONHURST COURT,
2025001155,2025-07-18 18:52:54,2025,7.0,18.0,424,4 - Hazardous Condition (No Fire),Carbon monoxide incident,419,4 - Residential,1 or 2 family dwelling,,,2573 SWISHER CREEK Drive 43004,Jefferson Township Fire Department,2573 SWISHER CREEK DRIVE,
2025001154,2025-07-18 18:21:06,2025,7.0,18.0,321,3 - Rescue & Emergency Medical Service Incident,"EMS call, excluding vehicle accident with injury",419,4 - Residential,1 or 2 family dwelling,,,8084 KENNEDY Road 43004,Jefferson Township Fire Department,8084 KENNEDY ROAD,
2025001153,2025-07-18 15:51:35,2025,7.0,18.0,321,3 - Rescue & Emergency Medical Service Incident,"EMS call, excluding vehicle accident with injury",,,,4,4 - Automatic aid given,748 TAYLOR Road 43230,Jefferson Township Fire Department,748 TAYLOR ROAD,
2025001152,2025-07-18 12:08:52,2025,7.0,18.0,321,3 - Rescue & Emergency Medical Service Incident,"EMS call, excluding vehicle accident with injury",419,4 - Residential,1 or 2 family dwelling,,,1957 SURREY Road 43004,Jefferson Township Fire Department,1957 SURREY ROAD,
2025001151,2025-07-18 07:53:32,2025,7.0,18.0,651,6 - Good Intent Call,"Smoke scare, odor of smoke",419,4 - Residential,1 or 2 family dwelling,,,7160 CLARK STATE Road 43004,Jefferson Township Fire Department,7160 CLARK STATE ROAD,
2025001150,2025-07-18 05:29:02,2025,7.0,18.0,321,3 - Rescue & Emergency Medical Service Incident,"EMS call, excluding vehicle accident with injury",419,4 - Residential,1 or 2 family dwelling,,,8244 RED OAK Drive 43004,Jefferson Township Fire Department,8244 RED OAK DRIVE,
2025001149,2025-07-17 19:17:01,2025,7.0,17.0,321,3 - Rescue & Emergency Medical Service Incident,"EMS call, excluding vehicle accident with injury",161,1 - Assembly,Restaurant or cafeteria,2,2 - Automatic aid received,7995 East BROAD Street 43068,Jefferson Township Fire Department,7995 BROAD STREET,
2025001148,2025-07-17 18:25:57,2025,7.0,17.0,321,3 - Rescue & Emergency Medical Service Incident,"EMS call, excluding vehicle accident with injury",419,4 - Residential,1 or 2 family dwelling,2,2 - Automatic aid received,7754 ASTRA Circle 43068,Jefferson Township Fire Department,7754 ASTRA CIRCLE,
2025001147,2025-07-17 15:11:27,2025,7.0,17.0,5535,5 - Service Call,CP - Standard Visit,419,4 - Residential,1 or 2 family dwelling,,,775 HAWKS CREST Lane 43004,Jefferson Township Fire Department,775 HAWKS CREST LANE,
2025001146,2025-07-17 14:03:42,2025,7.0,17.0,611,6 - Good Intent Call,Dispatched and cancelled en route,,,,4,4 - Automatic aid given,11472 BROAD Street 43062,Jefferson Township Fire Department,11472 BROAD STREET,
2025001145,2025-07-17 13:57:03,2025,7.0,17.0,5535,5 - Service Call,CP - Standard Visit,419,4 - Residential,1 or 2 family dwelling,,,7577 CLARK STATE Road 43004,Jefferson Township Fire Department,7577 CLARK STATE ROAD,
2025001144,2025-07-17 13:26:51,2025,7.0,17.0,554,5 - Service Call,Assist invalid,419,4 - Residential,1 or 2 family dwelling,,,1074 HERITAGE Street 43004,Jefferson Township Fire Department,1074 HERITAGE STREET,
2025001143,2025-07-17 11:25:50,2025,7.0,17.0,5535,5 - Service Call,CP - Standard Visit,419,4 - Residential,1 or 2 family dwelling,,,8677 GREYLAG Street 43004,Jefferson Township Fire Department,8677 GREYLAG STREET,
2025001142,2025-07-17 10:56:14,2025,7.0,17.0,611,6 - Good Intent Call,Dispatched and cancelled en route,,,,4,4 - Automatic aid given,8825 SMITHS MILL Road 43054,Jefferson Township Fire Department,8825 SMITHS MILL ROAD,
2025001141,2025-07-17 10:21:54,2025,7.0,17.0,554,5 - Service Call,Assist invalid,419,4 - Residential,1 or 2 family dwelling,,,1074 HERITAGE Street 43004,Jefferson Township Fire Department,1074 HERITAGE STREET,
2025001140,2025-07-17 10:15:35,2025,7.0,17.0,5535,5 - Service Call,CP - Standard Visit,419,4 - Residential,1 or 2 family dwelling,,,537 STREAMWATER Drive 43004,Jefferson Township Fire Department,537 STREAMWATER DRIVE,
2025001139,2025-07-17 09:18:43,2025,7.0,17.0,743,7 - False Alarm & False Call,"Smoke detector activation, no fire - unintentional",419,4 - Residential,1 or 2 family dwelling,,,7812 ANSANTE Drive 43054,Jefferson Township Fire Department,7812 ANSANTE DRIVE,
2025001138,2025-07-17 08:55:12,2025,7.0,17.0,5535,5 - Service Call,CP - Standard Visit,419,4 - Residential,1 or 2 family dwelling,,,3086 MANN Road 43004,Jefferson Township Fire Department,3086 MANN ROAD,
2025001137,2025-07-17 05:54:39,2025,7.0,17.0,321,3 - Rescue & Emergency Medical Service Incident,"EMS call, excluding vehicle accident with injury",419,4 - Residential,1 or 2 family dwelling,,,2641 SKELTON Lane 43004,Jefferson Township Fire Department,2641 SKELTON LANE,
2025001136,2025-07-17 01:56:27,2025,7.0,17.0,553,5 - Service Call,Public service,419,4 - Residential,1 or 2 family dwelling,,,9272 SHADWICK Way 43004,Jefferson Township Fire Department,9272 SHADWICK WAY,
2025001135,2025-07-16 23:46:26,2025,7.0,16.0,321,3 - Rescue & Emergency Medical Service Incident,"EMS call, excluding vehicle accident with injury",419,4 - Residential,1 or 2 family dwelling,,,2641 SKELTON Lane 43004,Jefferson Township Fire Department,2641 SKELTON LANE,
2025001134,2025-07-16 22:35:06,2025,7.0,16.0,321,3 - Rescue & Emergency Medical Service Incident,"EMS call, excluding vehicle accident with injury",419,4 - Residential,1 or 2 family dwelling,,,8967 PHILMONT CURVE Drive 43004,Jefferson Township Fire Department,8967 PHILMONT CURVE DRIVE,
2025001133,2025-07-16 21:01:38,2025,7.0,16.0,321,3 - Rescue & Emergency Medical Service Incident,"EMS call, excluding vehicle accident with injury",419,4 - Residential,1 or 2 family dwelling,,,1074 HERITAGE Street 43004,Jefferson Township Fire Department,1074 HERITAGE STREET,
2025001132,2025-07-16 09:43:03,2025,7.0,16.0,746,7 - False Alarm & False Call,"Carbon monoxide detector activation, no CO",419,4 - Residential,1 or 2 family dwelling,,,1220 SNIPE VIEW Loop 43004,Jefferson Township Fire Department,1220 SNIPE VIEW LOOP,
2025001131,2025-07-16 09:16:21,2025,7.0,16.0,554,5 - Service Call,Assist invalid,419,4 - Residential,1 or 2 family dwelling,,,8403 ALMOND PARK Drive 43004,Jefferson Township Fire Department,8403 ALMOND PARK DRIVE,
2025001130,2025-07-16 03:09:48,2025,7.0,16.0,321,3 - Rescue & Emergency Medical Service Incident,"EMS call, excluding vehicle accident with injury",419,4 - Residential,1 or 2 family dwelling,,,933 TAYLOR STATION Road 43230,Jefferson Township Fire Department,933 TAYLOR STATION ROAD,
2025001129,2025-07-15 22:13:26,2025,7.0,15.0,321,3 - Rescue & Emergency Medical Service Incident,"EMS call, excluding vehicle accident with injury",419,4 - Residential,1 or 2 family dwelling,,,7883 PRAIRIE WILLOW Drive 43004,Jefferson Township Fire Department,7883 PRAIRIE WILLOW DRIVE,
2025001128,2025-07-15 14:57:31,2025,7.0,15.0,321,3 - Rescue & Emergency Medical Service Incident,"EMS call, excluding vehicle accident with injury",419,4 - Residential,1 or 2 family dwelling,2,2 - Automatic aid received,7286 POPPY HILLS Court 43004,Jefferson Township Fire Department,7286 POPPY HILLS COURT,
2025001127,2025-07-15 14:27:50,2025,7.0,15.0,321,3 - Rescue & Emergency Medical Service Incident,"EMS call, excluding vehicle accident with injury",419,4 - Residential,1 or 2 family dwelling,,,8149 CLARK STATE Road 43004,Jefferson Township Fire Department,8149 CLARK STATE ROAD,
2025001126,2025-07-15 14:15:41,2025,7.0,15.0,745,7 - False Alarm & False Call,"Alarm system activation, no fire - unintentional",,,,4,4 - Automatic aid given,1101 BEECH Road 43054,Jefferson Township Fire Department,1101 BEECH ROAD,
2025001125,2025-07-15 10:43:14,2025,7.0,15.0,321,3 - Rescue & Emergency Medical Service Incident,"EMS call, excluding vehicle accident with injury",419,4 - Residential,1 or 2 family dwelling,,,1139 OAK HILL Road 43004,Jefferson Township Fire Department,1139 OAK HILL ROAD,
2025001124,2025-07-14 21:29:51,2025,7.0,14.0,321,3 - Rescue & Emergency Medical Service Incident,"EMS call, excluding vehicle accident with injury",419,4 - Residential,1 or 2 family dwelling,,,7766 FREESIA Street 43004,Jefferson Township Fire Department,7766 FREESIA STREET,
2025001123,2025-07-14 19:12:11,2025,7.0,14.0,321,3 - Rescue & Emergency Medical Service Incident,"EMS call, excluding vehicle accident with injury",161,1 - Assembly,Restaurant or cafeteria,,,6755 TAYLOR Road 43004,Jefferson Township Fire Department,6755 TAYLOR ROAD,
2025001122,2025-07-14 18:24:37,2025,7.0,14.0,611,6 - Good Intent Call,Dispatched and cancelled en route,,,,4,4 - Automatic aid given,6367 KITZMILLER Road 43054,Jefferson Township Fire Department,6367 KITZMILLER ROAD,
2025001121,2025-07-14 14:38:08,2025,7.0,14.0,321,3 - Rescue & Emergency Medical Service Incident,"EMS call, excluding vehicle accident with injury",419,4 - Residential,1 or 2 family dwelling,,,3240 MANN Road 43004,Jefferson Township Fire Department,3240 MANN ROAD,
2025001120,2025-07-14 14:10:45,2025,7.0,14.0,321,3 - Rescue & Emergency Medical Service Incident,"EMS call, excluding vehicle accident with injury",419,4 - Residential,1 or 2 family dwelling,,,3240 MANN Road 43004,Jefferson Township Fire Department,3240 MANN ROAD,
2025001119,2025-07-14 07:44:14,2025,7.0,14.0,321,3 - Rescue & Emergency Medical Service Incident,"EMS call, excluding vehicle accident with injury",419,4 - Residential,1 or 2 family dwelling,2,2 - Automatic aid received,234 DEER TRAIL Court 43068,Jefferson Township Fire Department,234 DEER TRAIL COURT,
2025001118,2025-07-13 12:18:43,2025,7.0,13.0,743,7 - False Alarm & False Call,"Smoke detector activation, no fire - unintentional",419,4 - Residential,1 or 2 family dwelling,,,991 VANWERT Loop 43004,Jefferson Township Fire Department,991 VANWERT LOOP,
2025001117,2025-07-13 11:31:59,2025,7.0,13.0,745,7 - False Alarm & False Call,"Alarm system activation, no fire - unintentional",419,4 - Residential,1 or 2 family dwelling,,,1290 CANDORA Street 43004,Jefferson Township Fire Department,1290 CANDORA STREET,
2025001116,2025-07-13 11:11:02,2025,7.0,13.0,321,3 - Rescue & Emergency Medical Service Incident,"EMS call, excluding vehicle accident with injury",131,1 - Assembly,"Church, mosque, synagogue, temple, chapel",,,3600 North WAGGONER Road 43004,Jefferson Township Fire Department,3600 WAGGONER ROAD,
2025001115,2025-07-12 17:12:23,2025,7.0,12.0,611,6 - Good Intent Call,Dispatched and cancelled en route,,,,4,4 - Automatic aid given,561 THEORI Avenue 43230,Jefferson Township Fire Department,561 THEORI AVENUE,
2025001114,2025-07-12 15:41:05,2025,7.0,12.0,611,6 - Good Intent Call,Dispatched and cancelled en route,,,,4,4 - Automatic aid given,9940 JOHNSTOWN Road 43054,Jefferson Township Fire Department,9940 JOHNSTOWN ROAD,
2025001113,2025-07-12 13:21:28,2025,7.0,12.0,321,3 - Rescue & Emergency Medical Service Incident,"EMS call, excluding vehicle accident with injury",888,8 - Storage,Fire station,,,6767 HAVENS CORNERS Road 43004,Jefferson Township Fire Department,6767 HAVENS CORNERS ROAD,
2025001112,2025-07-11 19:49:16,2025,7.0,11.0,321,3 - Rescue & Emergency Medical Service Incident,"EMS call, excluding vehicle accident with injury",419,4 - Residential,1 or 2 family dwelling,,,2805 NEWBERN Drive 43004,Jefferson Township Fire Department,2805 NEWBERN DRIVE,
2025001111,2025-07-11 18:25:26,2025,7.0,11.0,321,3 - Rescue & Emergency Medical Service Incident,"EMS call, excluding vehicle accident with injury",419,4 - Residential,1 or 2 family dwelling,2,2 - Automatic aid received,524 STRATSHIRE Lane 43230,Jefferson Township Fire Department,524 STRATSHIRE LANE,
2025001110,2025-07-11 14:17:37,2025,7.0,11.0,321,3 - Rescue & Emergency Medical Service Incident,"EMS call, excluding vehicle accident with injury",419,4 - Residential,1 or 2 family dwelling,,,7837 HEADWATER Drive 43004,Jefferson Township Fire Department,7837 HEADWATER DRIVE,
2025001109,2025-07-11 09:48:44,2025,7.0,11.0,611,6 - Good Intent Call,Dispatched and cancelled en route,,,,4,4 - Automatic aid given,1025 ASHMEAD Drive 43230,Jefferson Township Fire Department,1025 ASHMEAD DRIVE,
2025001108,2025-07-11 09:41:18,2025,7.0,11.0,321,3 - Rescue & Emergency Medical Service Incident,"EMS call, excluding vehicle accident with injury",,,,4,4 - Automatic aid given,834 WALBRIDGE Drive 43230,Jefferson Township Fire Department,834 WALBRIDGE DRIVE,
2025001107,2025-07-11 09:39:35,2025,7.0,11.0,611,6 - Good Intent Call,Dispatched and cancelled en route,,,,,,6889 MORSE Road 43054,Jefferson Township Fire Department,6889 MORSE ROAD,
2025001106,2025-07-11 08:58:41,2025,7.0,11.0,6712,6 - Good Intent Call,"CO Investigation, no detector - nothing found",400,4 - Residential,"Residential, other",,,7505 BLACKLICK RIDGE Boulevard 43004,Jefferson Township Fire Department,7505 BLACKLICK RIDGE BOULEVARD,
2025001105,2025-07-11 00:36:39,2025,7.0,11.0,321,3 - Rescue & Emergency Medical Service Incident,"EMS call, excluding vehicle accident with injury",142,1 - Assembly,Clubhouse,,,3347 DUETTE Drive 43054,Jefferson Township Fire Department,3347 DUETTE DRIVE,
2025001104,2025-07-10 23:53:01,2025,7.0,10.0,745,7 - False Alarm & False Call,"Alarm system activation, no fire - unintentional",419,4 - Residential,1 or 2 family dwelling,,,1267 TARA PIPER Lane 43004,Jefferson Township Fire Department,1267 TARA PIPER LANE,
2025001103,2025-07-10 23:19:58,2025,7.0,10.0,322,3 - Rescue & Emergency Medical Service Incident,Motor vehicle accident with injuries,962,9 - Outside or Special Property,"Residential street, road or residential driveway",,,CLARK STATE Road 43230,Jefferson Township Fire Department,CLARK STATE ROAD,
2025001102,2025-07-10 14:16:09,2025,7.0,10.0,321,3 - Rescue & Emergency Medical Service Incident,"EMS call, excluding vehicle accident with injury",592,"5 - Mercantile, Business",Bank,2,2 - Automatic aid received,8079 East BROAD Street 43068,Jefferson Township Fire Department,8079 BROAD STREET,
2025001101,2025-07-10 13:45:54,2025,7.0,10.0,111,1 - Fire,Building fire,,,,4,4 - Automatic aid given,8390 PINEY ORCHARD 43004,Jefferson Township Fire Department,8390 PINEY ORCHARD,
2025001100,2025-07-10 09:54:43,2025,7.0,10.0,554,5 - Service Call,Assist invalid,419,4 - Residential,1 or 2 family dwelling,,,2899 North REYNOLDSBURG NEW ALBANY Road 43004,Jefferson Township Fire Department,2899 REYNOLDSBURG NEW ALBANY ROAD,
2025001099,2025-07-10 08:04:58,2025,7.0,10.0,735,7 - False Alarm & False Call,Alarm system sounded due to malfunction,419,4 - Residential,1 or 2 family dwelling,,,991 VANWERT Loop 43004,Jefferson Township Fire Department,991 VANWERT LOOP,
2025001098,2025-07-10 04:58:47,2025,7.0,10.0,321,3 - Rescue & Emergency Medical Service Incident,"EMS call, excluding vehicle accident with injury",419,4 - Residential,1 or 2 family dwelling,,,1977 HAVENSWOOD Place 43004,Jefferson Township Fire Department,1977 HAVENSWOOD PLACE,
2025001097,2025-07-09 17:07:32,2025,7.0,9.0,321,3 - Rescue & Emergency Medical Service Incident,"EMS call, excluding vehicle accident with injury",419,4 - Residential,1 or 2 family dwelling,,,5605 HAVENS CORNERS Road 43230,Jefferson Township Fire Department,5605 HAVENS CORNERS ROAD,
2025001096,2025-07-09 16:40:42,2025,7.0,9.0,321,3 - Rescue & Emergency Medical Service Incident,"EMS call, excluding vehicle accident with injury",419,4 - Residential,1 or 2 family dwelling,,,7577 CLARK STATE Road 43004,Jefferson Township Fire Department,7577 CLARK STATE ROAD,
2025001095,2025-07-09 15:56:34,2025,7.0,9.0,321,3 - Rescue & Emergency Medical Service Incident,"EMS call, excluding vehicle accident with injury",891,8 - Storage,Warehouse,2,2 - Automatic aid received,8525 East BROAD Street 43068,Jefferson Township Fire Department,8525 BROAD STREET,
2025001094,2025-07-09 08:34:42,2025,7.0,9.0,551,5 - Service Call,Assist police or other governmental agency,962,9 - Outside or Special Property,"Residential street, road or residential driveway",,,8149 CLARK STATE Road 43004,Jefferson Township Fire Department,8149 CLARK STATE ROAD,
2025001093,2025-07-09 06:58:25,2025,7.0,9.0,322,3 - Rescue & Emergency Medical Service Incident,Motor vehicle accident with injuries,962,9 - Outside or Special Property,"Residential street, road or residential driveway",2,2 - Automatic aid received,8149 CLARK STATE Road 43004,Jefferson Township Fire Department,8149 CLARK STATE ROAD,
2025001092,2025-07-09 05:01:56,2025,7.0,9.0,321,3 - Rescue & Emergency Medical Service Incident,"EMS call, excluding vehicle accident with injury",419,4 - Residential,1 or 2 family dwelling,,,3075 MANN Road 43230,Jefferson Township Fire Department,3075 MANN ROAD,
2025001091,2025-07-09 01:16:21,2025,7.0,9.0,322,3 - Rescue & Emergency Medical Service Incident,Motor vehicle accident with injuries,963,9 - Outside or Special Property,Street or road in commercial area,4,4 - Automatic aid given,East BROAD Street 43004,Jefferson Township Fire Department,BROAD STREET,
2025001090,2025-07-08 20:54:18,2025,7.0,8.0,321,3 - Rescue & Emergency Medical Service Incident,"EMS call, excluding vehicle accident with injury",419,4 - Residential,1 or 2 family dwelling,2,2 - Automatic aid received,2504 ASHCROFT Loop 43004,Jefferson Township Fire Department,2504 ASHCROFT LOOP,
2025001089,2025-07-08 20:44:24,2025,7.0,8.0,321,3 - Rescue & Emergency Medical Service Incident,"EMS call, excluding vehicle accident with injury",419,4 - Residential,1 or 2 family dwelling,,,396 ROCKY SPRINGS Drive 43004,Jefferson Township Fire Department,396 ROCKY SPRINGS DRIVE,
2025001088,2025-07-08 19:20:58,2025,7.0,8.0,554,5 - Service Call,Assist invalid,419,4 - Residential,1 or 2 family dwelling,,,222 DEER TRAIL Road 43068,Jefferson Township Fire Department,222 DEER TRAIL ROAD,
2025001087,2025-07-08 14:56:09,2025,7.0,8.0,322,3 - Rescue & Emergency Medical Service Incident,Motor vehicle accident with injuries,962,9 - Outside or Special Property,"Residential street, road or residential driveway",2,2 - Automatic aid received,3375 KITZMILLER Road 43054,Jefferson Township Fire Department,3375 KITZMILLER ROAD,
2025001086,2025-07-08 08:08:55,2025,7.0,8.0,611,6 - Good Intent Call,Dispatched and cancelled en route,,,,4,4 - Automatic aid given,East BROAD Street 43004,Jefferson Township Fire Department,BROAD STREET,
2025001085,2025-07-08 04:21:39,2025,7.0,8.0,321,3 - Rescue & Emergency Medical Service Incident,"EMS call, excluding vehicle accident with injury",891,8 - Storage,Warehouse,2,2 - Automatic aid received,8525 East BROAD Street 43068,Jefferson Township Fire Department,8525 BROAD STREET,
2025001084,2025-07-08 03:26:47,2025,7.0,8.0,321,3 - Rescue & Emergency Medical Service Incident,"EMS call, excluding vehicle accident with injury",429,4 - Residential,Multifamily dwelling,2,2 - Automatic aid received,34 KIPATRICK Drive 43004,Jefferson Township Fire Department,34 KIPATRICK DRIVE,
2025001083,2025-07-07 02:49:25,2025,7.0,7.0,322,3 - Rescue & Emergency Medical Service Incident,Motor vehicle accident with injuries,,,,4,4 - Automatic aid given,7167 East BROAD Street 43068,Jefferson Township Fire Department,7167 BROAD STREET,
