Agency FDID,Basic Incident Number (FD1),Basic Incident Date Original (FD1.3),Basic Incident Year (FD1.3),Basic Incident Type Code (FD1.21),Basic Incident Type (FD1.21),Basic Aid Given Or Received Code (FD1.22),Basic Aid Given Or Received (FD1.22),Basic Property Use Category (FD1.46),Basic Property Use Code (FD1.46),Basic Property Use (FD1.46),Basic Incident Full Street Address,Basic Incident City Name (FD1.16),Basic Incident State (FD1.18),Basic Incident Postal Code (FD1.19)
25115,2025001209,7/28/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,7991 HAVENS Road,Blacklick,OH,43004
25115,2025001208,7/27/2025,2025,744,"Detector activation, no fire - unintentional",,None,4 - Residential,419,1 or 2 family dwelling,979 VANWERT Loop,Blacklick,OH,43004
25115,2025001207,7/27/2025,2025,321,"EMS call, excluding vehicle accident with injury",2,Automatic aid received,4 - Residential,419,1 or 2 family dwelling,3046 KNOLL Drive,Gahanna,OH,43230
25115,2025001206,7/27/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,7751 LANTANA Avenue,Blacklick,OH,43004
25115,2025001205,7/26/2025,2025,814,Lightning strike (no fire),,None,4 - Residential,419,1 or 2 family dwelling,3399 MANN Road,Gahanna,OH,43230
25115,2025001204,7/26/2025,2025,611,Dispatched and cancelled en route,,None,4 - Residential,419,1 or 2 family dwelling,1129 STREAMSIDE Drive,Blacklick,OH,43004
25115,2025001203,7/26/2025,2025,321,"EMS call, excluding vehicle accident with injury",2,Automatic aid received,"5 - Mercantile, Business",519,"Food and beverage sales, grocery store",8301 East BROAD Street,Reynoldsburg,OH,43068
25115,2025001202,7/26/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,2718 SKELTON Lane,Blacklick,OH,43004
25115,2025001201,7/26/2025,2025,321,"EMS call, excluding vehicle accident with injury",4,Automatic aid given,,,,5232 SUMMIT Road Southwest,Pataskala,OH,43062
25115,2025001200,7/26/2025,2025,554,Assist invalid,,None,4 - Residential,419,1 or 2 family dwelling,7751 LANTANA Avenue,Blacklick,OH,43004
25115,2025001199,7/26/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,1 - Assembly,160,"Eating, drinking places, other",3001 North REYNOLDSBURG-NEW ALBANY Road,New Albany,OH,43054
25115,2025001198,7/25/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,429,Multifamily dwelling,714 North REYNOLDSBURG NEW ALBANY Road,Blacklick,OH,43004
25115,2025001197,7/25/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,7812 FREESIA Street,Blacklick,OH,43004
25115,2025001196,7/25/2025,2025,324,Motor vehicle accident with no injuries.,,None,9 - Outside or Special Property,962,"Residential street, road or residential driveway",6235 MORSE Road,New Albany,OH,43054
25115,2025001195,7/25/2025,2025,745,"Alarm system activation, no fire - unintentional",4,Automatic aid given,,,,1125 GAHANNA Parkway,Gahanna,OH,43230
25115,2025001194,7/25/2025,2025,611,Dispatched and cancelled en route,,None,,,,1253 North WAGGONER Road,Blacklick,OH,43004
25115,2025001193,7/25/2025,2025,321,"EMS call, excluding vehicle accident with injury",4,Automatic aid given,,,,748 TAYLOR Road,Gahanna,OH,43230
25115,2025001192,7/25/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,2899 North REYNOLDSBURG NEW ALBANY Road,Blacklick,OH,43004
25115,2025001191,7/24/2025,2025,554,Assist invalid,,None,4 - Residential,429,Multifamily dwelling,8340 FAIR OAK Drive,Blacklick,OH,43004
25115,2025001190,7/24/2025,2025,622,No incident found on arrival at dispatch address,,None,9 - Outside or Special Property,963,Street or road in commercial area,6010 TAYLOR Road,Gahanna,OH,43230
25115,2025001189,7/24/2025,2025,321,"EMS call, excluding vehicle accident with injury",4,Automatic aid given,,,,724 WOODINGTON Drive,Pataskala,OH,43062
25115,2025001188,7/24/2025,2025,321,"EMS call, excluding vehicle accident with injury",4,Automatic aid given,,,,725 BUCKLES Court North,Gahanna,OH,43230
25115,2025001187,7/24/2025,2025,743,"Smoke detector activation, no fire - unintentional",,None,4 - Residential,419,1 or 2 family dwelling,2300 COLTS NECK Road,Blacklick,OH,43004
25115,2025001186,7/23/2025,2025,324,Motor vehicle accident with no injuries.,2,Automatic aid received,4 - Residential,419,1 or 2 family dwelling,2024 North REYNOLDSBURG NEW ALBANY Road,Blacklick,OH,43004
25115,2025001185,7/23/2025,2025,321,"EMS call, excluding vehicle accident with injury",2,Automatic aid received,4 - Residential,429,Multifamily dwelling,8360 HUMBOLDT Road,Blacklick,OH,43004
25115,2025001184,7/23/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,429,Multifamily dwelling,858 TAYLOR STATION Road,Gahanna,OH,43230
25115,2025001183,7/23/2025,2025,611,Dispatched and cancelled en route,4,Automatic aid given,,,,2639 NEWTON Court,New Albany,OH,43054
25115,2025001182,7/23/2025,2025,321,"EMS call, excluding vehicle accident with injury",2,Automatic aid received,"7 - Manufacturing, Processing",700,"Manufacturing, Processing",8400 East BROAD Street,Reynoldsburg,OH,43068
25115,2025001181,7/22/2025,2025,321,"EMS call, excluding vehicle accident with injury",4,Automatic aid given,,,,6928 East BROAD Street,Blacklick,OH,43004
25115,2025001180,7/22/2025,2025,554,Assist invalid,,None,4 - Residential,419,1 or 2 family dwelling,1121 STREAMSIDE Drive,Blacklick,OH,43004
25115,2025001179,7/22/2025,2025,611,Dispatched and cancelled en route,4,Automatic aid given,,,,831 ACORN GROVE Drive,Blacklick,OH,43004
25115,2025001178,7/22/2025,2025,321,"EMS call, excluding vehicle accident with injury",2,Automatic aid received,4 - Residential,429,Multifamily dwelling,72 SUDBURY Loop,Blacklick,OH,43004
25115,2025001177,7/22/2025,2025,324,Motor vehicle accident with no injuries.,4,Automatic aid given,,,,North HAMILTON Road and N HAMILTON RD / GRANVILLE ST,GAHANNA,OH,43230
25115,2025001176,7/22/2025,2025,736,CO detector activation due to malfunction,,None,4 - Residential,419,1 or 2 family dwelling,7691 DEER PARK Way,Reynoldsburg,OH,43068
25115,2025001175,7/22/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,970 VANWERT Loop,Blacklick,OH,43004
25115,2025001174,7/22/2025,2025,321,"EMS call, excluding vehicle accident with injury",2,Automatic aid received,"5 - Mercantile, Business",599,Business office,8455 East BROAD Street,Reynoldsburg,OH,43068
25115,2025001173,7/22/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,8842 BELHAVEN Court,Blacklick,OH,43004
25115,2025001172,7/21/2025,2025,321,"EMS call, excluding vehicle accident with injury",2,Automatic aid received,"3 - Health Care, Detention & Correction",311,"24-hour care Nursing homes, 4 or more persons",5201 MORSE Road,Gahanna,OH,43230
25115,2025001171,7/21/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,1273 CANDORA Street,Blacklick,OH,43004
25115,2025001170,7/21/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,1543 BENT MAPLE Drive,Blacklick,OH,43004
25115,2025001169,7/20/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,8001 HEADWATER Drive,Blacklick,OH,43004
25115,2025001168,7/20/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,7534 BLACKLICK RIDGE Boulevard,Blacklick,OH,43004
25115,2025001167,7/20/2025,2025,554,Assist invalid,4,Automatic aid given,,,,14910 HAVENS CORNERS Road Southwest,Pataskala,OH,43062
25115,2025001166,7/20/2025,2025,321,"EMS call, excluding vehicle accident with injury",2,Automatic aid received,4 - Residential,419,1 or 2 family dwelling,7754 ASTRA Circle,Reynoldsburg,OH,43068
25115,2025001165,7/20/2025,2025,321,"EMS call, excluding vehicle accident with injury",2,Automatic aid received,8 - Storage,891,Warehouse,8525 East BROAD Street,Reynoldsburg,OH,43068
25115,2025001164,7/20/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,400,"Residential, other",2982 CREEKWOOD ESTATES Drive,Blacklick,OH,43004
25115,2025001163,7/19/2025,2025,554,Assist invalid,,None,4 - Residential,429,Multifamily dwelling,933 TAYLOR STATION Road,Gahanna,OH,43230
25115,2025001162,7/19/2025,2025,500,"Service call, other",,None,4 - Residential,400,"Residential, other",7788 FREESIA Street,Blacklick,OH,43004
25115,2025001161,7/19/2025,2025,611,Dispatched and cancelled en route,4,Automatic aid given,,,,200 MARKET Street,New Albany,OH,43054
25115,2025001160,7/19/2025,2025,324,Motor vehicle accident with no injuries.,,None,4 - Residential,400,"Residential, other",8219 ROYAL ELM Drive,Blacklick,OH,43004
25115,2025001159,7/19/2025,2025,321,"EMS call, excluding vehicle accident with injury",4,Automatic aid given,,,,657 EASTGATE Parkway,Gahanna,OH,43230
25115,2025001158,7/19/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,429,Multifamily dwelling,933 TAYLOR STATION Road,Gahanna,OH,43230
25115,2025001157,7/19/2025,2025,611,Dispatched and cancelled en route,2,Automatic aid received,,,,81 SCENIC Road,Blacklick,OH,43004
25115,2025001156,7/19/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,2502 KELTONHURST Court,Blacklick,OH,43004
25115,2025001155,7/18/2025,2025,424,Carbon monoxide incident,,None,4 - Residential,419,1 or 2 family dwelling,2573 SWISHER CREEK Drive,Blacklick,OH,43004
25115,2025001154,7/18/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,8084 KENNEDY Road,Blacklick,OH,43004
25115,2025001153,7/18/2025,2025,321,"EMS call, excluding vehicle accident with injury",4,Automatic aid given,,,,748 TAYLOR Road,Gahanna,OH,43230
25115,2025001152,7/18/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,1957 SURREY Road,Blacklick,OH,43004
25115,2025001151,7/18/2025,2025,651,"Smoke scare, odor of smoke",,None,4 - Residential,419,1 or 2 family dwelling,7160 CLARK STATE Road,Blacklick,OH,43004
25115,2025001150,7/18/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,8244 RED OAK Drive,Blacklick,OH,43004
25115,2025001149,7/17/2025,2025,321,"EMS call, excluding vehicle accident with injury",2,Automatic aid received,1 - Assembly,161,Restaurant or cafeteria,7995 East BROAD Street,Reynoldsburg,OH,43068
25115,2025001148,7/17/2025,2025,321,"EMS call, excluding vehicle accident with injury",2,Automatic aid received,4 - Residential,419,1 or 2 family dwelling,7754 ASTRA Circle,Reynoldsburg,OH,43068
25115,2025001147,7/17/2025,2025,5535,CP - Standard Visit,,None,4 - Residential,419,1 or 2 family dwelling,775 HAWKS CREST Lane,Blacklick,OH,43004
25115,2025001146,7/17/2025,2025,611,Dispatched and cancelled en route,4,Automatic aid given,,,,11472 BROAD Street Southwest,City of Pataskala,OH,43062
25115,2025001145,7/17/2025,2025,5535,CP - Standard Visit,,None,4 - Residential,419,1 or 2 family dwelling,7577 CLARK STATE Road,Blacklick,OH,43004
25115,2025001144,7/17/2025,2025,554,Assist invalid,,None,4 - Residential,419,1 or 2 family dwelling,1074 HERITAGE Street,Blacklick,OH,43004
25115,2025001143,7/17/2025,2025,5535,CP - Standard Visit,,None,4 - Residential,419,1 or 2 family dwelling,8677 GREYLAG Street,Blacklick,OH,43004
25115,2025001142,7/17/2025,2025,611,Dispatched and cancelled en route,4,Automatic aid given,,,,8825 SMITHS MILL Road North,New Albany,OH,43054
25115,2025001141,7/17/2025,2025,554,Assist invalid,,None,4 - Residential,419,1 or 2 family dwelling,1074 HERITAGE Street,Blacklick,OH,43004
25115,2025001140,7/17/2025,2025,5535,CP - Standard Visit,,None,4 - Residential,419,1 or 2 family dwelling,537 STREAMWATER Drive,Blacklick,OH,43004
25115,2025001139,7/17/2025,2025,743,"Smoke detector activation, no fire - unintentional",,None,4 - Residential,419,1 or 2 family dwelling,7812 ANSANTE Drive,New Albany,OH,43054
25115,2025001138,7/17/2025,2025,5535,CP - Standard Visit,,None,4 - Residential,419,1 or 2 family dwelling,3086 MANN Road,Blacklick,OH,43004
25115,2025001137,7/17/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,2641 SKELTON Lane,Blacklick,OH,43004
25115,2025001136,7/17/2025,2025,553,Public service,,None,4 - Residential,419,1 or 2 family dwelling,9272 SHADWICK Way,Blacklick,OH,43004
25115,2025001135,7/16/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,2641 SKELTON Lane,Blacklick,OH,43004
25115,2025001134,7/16/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,8967 PHILMONT CURVE Drive,Blacklick,OH,43004
25115,2025001133,7/16/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,1074 HERITAGE Street,Blacklick,OH,43004
25115,2025001132,7/16/2025,2025,746,"Carbon monoxide detector activation, no CO",,None,4 - Residential,419,1 or 2 family dwelling,1220 SNIPE VIEW Loop West,Blacklick,OH,43004
25115,2025001131,7/16/2025,2025,554,Assist invalid,,None,4 - Residential,419,1 or 2 family dwelling,8403 ALMOND PARK Drive,Blacklick,OH,43004
25115,2025001130,7/16/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,933 TAYLOR STATION Road,Gahanna,OH,43230
25115,2025001129,7/15/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,7883 PRAIRIE WILLOW Drive,Blacklick,OH,43004
25115,2025001128,7/15/2025,2025,321,"EMS call, excluding vehicle accident with injury",2,Automatic aid received,4 - Residential,419,1 or 2 family dwelling,7286 POPPY HILLS Court,Blacklick,OH,43004
25115,2025001127,7/15/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,8149 CLARK STATE Road,Blacklick,OH,43004
25115,2025001126,7/15/2025,2025,745,"Alarm system activation, no fire - unintentional",4,Automatic aid given,,,,1101 BEECH Road Southwest,New Albany,OH,43054
25115,2025001125,7/15/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,1139 OAK HILL Road,Blacklick,OH,43004
25115,2025001124,7/14/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,7766 FREESIA Street,Blacklick,OH,43004
25115,2025001123,7/14/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,1 - Assembly,161,Restaurant or cafeteria,6755 TAYLOR Road,Blacklick,OH,43004
25115,2025001122,7/14/2025,2025,611,Dispatched and cancelled en route,4,Automatic aid given,,,,6367 KITZMILLER Road,New Albany,OH,43054
25115,2025001121,7/14/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,3240 MANN Road,Blacklick,OH,43004
25115,2025001120,7/14/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,3240 MANN Road,Blacklick,OH,43004
25115,2025001119,7/14/2025,2025,321,"EMS call, excluding vehicle accident with injury",2,Automatic aid received,4 - Residential,419,1 or 2 family dwelling,234 DEER TRAIL Court,Reynoldsburg,OH,43068
25115,2025001118,7/13/2025,2025,743,"Smoke detector activation, no fire - unintentional",,None,4 - Residential,419,1 or 2 family dwelling,991 VANWERT Loop,Blacklick,OH,43004
25115,2025001117,7/13/2025,2025,745,"Alarm system activation, no fire - unintentional",,None,4 - Residential,419,1 or 2 family dwelling,1290 CANDORA Street,Blacklick,OH,43004
25115,2025001116,7/13/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,1 - Assembly,131,"Church, mosque, synagogue, temple, chapel",3600 North WAGGONER Road,Blacklick,OH,43004
25115,2025001115,7/12/2025,2025,611,Dispatched and cancelled en route,4,Automatic aid given,,,,561 THEORI Avenue,Gahanna,OH,43230
25115,2025001114,7/12/2025,2025,611,Dispatched and cancelled en route,4,Automatic aid given,,,,9940 JOHNSTOWN Road,New Albany,OH,43054
25115,2025001113,7/12/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,8 - Storage,888,Fire station,6767 HAVENS CORNERS Road,Blacklick,OH,43004
25115,2025001112,7/11/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,2805 NEWBERN Drive West,Blacklick,OH,43004
25115,2025001111,7/11/2025,2025,321,"EMS call, excluding vehicle accident with injury",2,Automatic aid received,4 - Residential,419,1 or 2 family dwelling,524 STRATSHIRE Lane,Gahanna,OH,43230
25115,2025001110,7/11/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,7837 HEADWATER Drive,Blacklick,OH,43004
25115,2025001109,7/11/2025,2025,611,Dispatched and cancelled en route,4,Automatic aid given,,,,1025 ASHMEAD Drive,Gahanna,OH,43230
25115,2025001108,7/11/2025,2025,321,"EMS call, excluding vehicle accident with injury",4,Automatic aid given,,,,834 WALBRIDGE Drive,Gahanna,OH,43230
25115,2025001107,7/11/2025,2025,611,Dispatched and cancelled en route,,None,,,,6889 MORSE Road,New Albany,OH,43054
25115,2025001106,7/11/2025,2025,6712,"CO Investigation, no detector - nothing found",,None,4 - Residential,400,"Residential, other",7505 BLACKLICK RIDGE Boulevard,Blacklick,OH,43004
25115,2025001105,7/11/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,1 - Assembly,142,Clubhouse,3347 DUETTE Drive,New Albany,OH,43054
25115,2025001104,7/10/2025,2025,745,"Alarm system activation, no fire - unintentional",,None,4 - Residential,419,1 or 2 family dwelling,1267 TARA PIPER Lane,Blacklick,OH,43004
25115,2025001103,7/10/2025,2025,322,Motor vehicle accident with injuries,,None,9 - Outside or Special Property,962,"Residential street, road or residential driveway",CLARK STATE Road and Headly Rd,Gahanna,OH,43230
25115,2025001102,7/10/2025,2025,321,"EMS call, excluding vehicle accident with injury",2,Automatic aid received,"5 - Mercantile, Business",592,Bank,8079 East BROAD Street,Reynoldsburg,OH,43068
25115,2025001101,7/10/2025,2025,111,Building fire,4,Automatic aid given,,,,8390 PINEY ORCHARD,Blacklick,OH,43004
25115,2025001100,7/10/2025,2025,554,Assist invalid,,None,4 - Residential,419,1 or 2 family dwelling,2899 North REYNOLDSBURG NEW ALBANY Road,Blacklick,OH,43004
25115,2025001099,7/10/2025,2025,735,Alarm system sounded due to malfunction,,None,4 - Residential,419,1 or 2 family dwelling,991 VANWERT Loop,Blacklick,OH,43004
25115,2025001098,7/10/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,1977 HAVENSWOOD Place,Blacklick,OH,43004
25115,2025001097,7/9/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,5605 HAVENS CORNERS Road,Gahanna,OH,43230
25115,2025001096,7/9/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,7577 CLARK STATE Road,Blacklick,OH,43004
25115,2025001095,7/9/2025,2025,321,"EMS call, excluding vehicle accident with injury",2,Automatic aid received,8 - Storage,891,Warehouse,8525 East BROAD Street,Reynoldsburg,OH,43068
25115,2025001094,7/9/2025,2025,551,Assist police or other governmental agency,,None,9 - Outside or Special Property,962,"Residential street, road or residential driveway",8149 CLARK STATE Road,Blacklick,OH,43004
25115,2025001093,7/9/2025,2025,322,Motor vehicle accident with injuries,2,Automatic aid received,9 - Outside or Special Property,962,"Residential street, road or residential driveway",8149 CLARK STATE Road,Blacklick,OH,43004
25115,2025001092,7/9/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,3075 MANN Road,Gahanna,OH,43230
25115,2025001091,7/9/2025,2025,322,Motor vehicle accident with injuries,4,Automatic aid given,9 - Outside or Special Property,963,Street or road in commercial area,"East BROAD Street and E BROAD ST, COLUMBUS",COLUMBUS,OH,43004
25115,2025001090,7/8/2025,2025,321,"EMS call, excluding vehicle accident with injury",2,Automatic aid received,4 - Residential,419,1 or 2 family dwelling,2504 ASHCROFT Loop,Blacklick,OH,43004
25115,2025001089,7/8/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,396 ROCKY SPRINGS Drive,Blacklick,OH,43004
25115,2025001088,7/8/2025,2025,554,Assist invalid,,None,4 - Residential,419,1 or 2 family dwelling,222 DEER TRAIL Road,Reynoldsburg,OH,43068
25115,2025001087,7/8/2025,2025,322,Motor vehicle accident with injuries,2,Automatic aid received,9 - Outside or Special Property,962,"Residential street, road or residential driveway",3375 KITZMILLER Road,New Albany,OH,43054
25115,2025001086,7/8/2025,2025,611,Dispatched and cancelled en route,4,Automatic aid given,,,,East BROAD Street and N WAGGONER RD,COLUMBUS,OH,43004
25115,2025001085,7/8/2025,2025,321,"EMS call, excluding vehicle accident with injury",2,Automatic aid received,8 - Storage,891,Warehouse,8525 East BROAD Street,Reynoldsburg,OH,43068
25115,2025001084,7/8/2025,2025,321,"EMS call, excluding vehicle accident with injury",2,Automatic aid received,4 - Residential,429,Multifamily dwelling,34 KIPATRICK Drive,Blacklick,OH,43004
25115,2025001083,7/7/2025,2025,322,Motor vehicle accident with injuries,4,Automatic aid given,,,,7167 East BROAD Street,Reynoldsburg,OH,43068
25115,2025001082,7/7/2025,2025,6712,"CO Investigation, no detector - nothing found",,None,4 - Residential,419,1 or 2 family dwelling,8051 WILLOW BROOK CROSSING Drive,Blacklick,OH,43004
25115,2025001081,7/6/2025,2025,554,Assist invalid,,None,4 - Residential,429,Multifamily dwelling,933 TAYLOR STATION Road,Gahanna,OH,43230
25115,2025001080,7/6/2025,2025,321,"EMS call, excluding vehicle accident with injury",2,Automatic aid received,4 - Residential,419,1 or 2 family dwelling,7883 PRAIRIE WILLOW Drive,Blacklick,OH,43004
25115,2025001079,7/6/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,1 - Assembly,124,Playground,7494 CLARK STATE Road,New Albany,OH,43054
25115,2025001078,7/6/2025,2025,611,Dispatched and cancelled en route,,None,,,,8058 KENNEDY Road,Blacklick,OH,43004
25115,2025001077,7/6/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,429,Multifamily dwelling,700 North REYNOLDSBURG NEW ALBANY Road,Blacklick,OH,43004
25115,2025001076,7/5/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,1152 MC NEIL Drive,Blacklick,OH,43004
25115,2025001075,7/5/2025,2025,321,"EMS call, excluding vehicle accident with injury",2,Automatic aid received,"5 - Mercantile, Business",539,"Household goods, sales, repairs",8173 East BROAD Street,Reynoldsburg,OH,43068
25115,2025001074,7/5/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,2899 North REYNOLDSBURG NEW ALBANY Road,Blacklick,OH,43004
25115,2025001073,7/5/2025,2025,321,"EMS call, excluding vehicle accident with injury",2,Automatic aid received,"5 - Mercantile, Business",571,"Service station, gas station",7905 East BROAD Street,Reynoldsburg,OH,43068
25115,2025001072,7/5/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,845 HAWKS CREST Lane,Blacklick,OH,43004
25115,2025001071,7/5/2025,2025,554,Assist invalid,,None,4 - Residential,429,Multifamily dwelling,933 TAYLOR STATION Road,Gahanna,OH,43230
