agency_fdid,basic_incident_number_(fd1),basic_incident_date_original_(fd1.3),basic_incident_year_(fd1.3),basic_incident_type_code_(fd1.21),basic_incident_type_(fd1.21),basic_aid_given_or_received_code_(fd1.22),basic_aid_given_or_received_(fd1.22),basic_property_use_category_(fd1.46),basic_property_use_code_(fd1.46),basic_property_use_(fd1.46),basic_incident_city_name_(fd1.16),basic_incident_state_(fd1.18),basic_incident_postal_code_(fd1.19)
25115,2025001174,07/22/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",2.0,Automatic aid received,"5 - Mercantile, Business",599,Business office,Reynoldsburg,OH,43068
25115,2025001173,07/22/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001172,07/21/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",2.0,Automatic aid received,"3 - Health Care, Detention & Correction",311,"24-hour care Nursing homes, 4 or more persons",Gahanna,OH,43230
25115,2025001171,07/21/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001170,07/21/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001169,07/20/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001168,07/20/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001167,07/20/2025,2025.0,554.0,Assist invalid,4.0,Automatic aid given,,,,Pataskala,OH,43062
25115,2025001166,07/20/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",2.0,Automatic aid received,4 - Residential,419,1 or 2 family dwelling,Reynoldsburg,OH,43068
25115,2025001165,07/20/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",2.0,Automatic aid received,8 - Storage,891,Warehouse,Reynoldsburg,OH,43068
25115,2025001164,07/20/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,400,"Residential, other",Blacklick,OH,43004
25115,2025001163,07/19/2025,2025.0,554.0,Assist invalid,,,4 - Residential,429,Multifamily dwelling,Gahanna,OH,43230
25115,2025001162,07/19/2025,2025.0,500.0,"Service call, other",,,4 - Residential,400,"Residential, other",Blacklick,OH,43004
25115,2025001161,07/19/2025,2025.0,611.0,Dispatched and cancelled en route,4.0,Automatic aid given,,,,New Albany,OH,43054
25115,2025001160,07/19/2025,2025.0,324.0,Motor vehicle accident with no injuries.,,,4 - Residential,400,"Residential, other",Blacklick,OH,43004
25115,2025001159,07/19/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",4.0,Automatic aid given,,,,Gahanna,OH,43230
25115,2025001158,07/19/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,429,Multifamily dwelling,Gahanna,OH,43230
25115,2025001157,07/19/2025,2025.0,611.0,Dispatched and cancelled en route,2.0,Automatic aid received,,,,Blacklick,OH,43004
25115,2025001156,07/19/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001155,07/18/2025,2025.0,424.0,Carbon monoxide incident,,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001154,07/18/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001153,07/18/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",4.0,Automatic aid given,,,,Gahanna,OH,43230
25115,2025001152,07/18/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001151,07/18/2025,2025.0,651.0,"Smoke scare, odor of smoke",,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001150,07/18/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001149,07/17/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",2.0,Automatic aid received,1 - Assembly,161,Restaurant or cafeteria,Reynoldsburg,OH,43068
25115,2025001148,07/17/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",2.0,Automatic aid received,4 - Residential,419,1 or 2 family dwelling,Reynoldsburg,OH,43068
25115,2025001147,07/17/2025,2025.0,5535.0,CP - Standard Visit,,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001146,07/17/2025,2025.0,611.0,Dispatched and cancelled en route,4.0,Automatic aid given,,,,City of Pataskala,OH,43062
25115,2025001145,07/17/2025,2025.0,5535.0,CP - Standard Visit,,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001144,07/17/2025,2025.0,554.0,Assist invalid,,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001143,07/17/2025,2025.0,5535.0,CP - Standard Visit,,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001142,07/17/2025,2025.0,611.0,Dispatched and cancelled en route,4.0,Automatic aid given,,,,New Albany,OH,43054
25115,2025001141,07/17/2025,2025.0,554.0,Assist invalid,,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001140,07/17/2025,2025.0,5535.0,CP - Standard Visit,,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001139,07/17/2025,2025.0,743.0,"Smoke detector activation, no fire - unintentional",,,4 - Residential,419,1 or 2 family dwelling,New Albany,OH,43054
25115,2025001138,07/17/2025,2025.0,5535.0,CP - Standard Visit,,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001137,07/17/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001136,07/17/2025,2025.0,553.0,Public service,,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001135,07/16/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001134,07/16/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001133,07/16/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001132,07/16/2025,2025.0,746.0,"Carbon monoxide detector activation, no CO",,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001131,07/16/2025,2025.0,554.0,Assist invalid,,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001130,07/16/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,Gahanna,OH,43230
25115,2025001129,07/15/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001128,07/15/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",2.0,Automatic aid received,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001127,07/15/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001126,07/15/2025,2025.0,745.0,"Alarm system activation, no fire - unintentional",4.0,Automatic aid given,,,,New Albany,OH,43054
25115,2025001125,07/15/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001124,07/14/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001123,07/14/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,1 - Assembly,161,Restaurant or cafeteria,Blacklick,OH,43004
25115,2025001122,07/14/2025,2025.0,611.0,Dispatched and cancelled en route,4.0,Automatic aid given,,,,New Albany,OH,43054
25115,2025001121,07/14/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001120,07/14/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001119,07/14/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",2.0,Automatic aid received,4 - Residential,419,1 or 2 family dwelling,Reynoldsburg,OH,43068
25115,2025001118,07/13/2025,2025.0,743.0,"Smoke detector activation, no fire - unintentional",,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001117,07/13/2025,2025.0,745.0,"Alarm system activation, no fire - unintentional",,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001116,07/13/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,1 - Assembly,131,"Church, mosque, synagogue, temple, chapel",Blacklick,OH,43004
25115,2025001115,07/12/2025,2025.0,611.0,Dispatched and cancelled en route,4.0,Automatic aid given,,,,Gahanna,OH,43230
25115,2025001114,07/12/2025,2025.0,611.0,Dispatched and cancelled en route,4.0,Automatic aid given,,,,New Albany,OH,43054
25115,2025001113,07/12/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,8 - Storage,888,Fire station,Blacklick,OH,43004
25115,2025001112,07/11/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001111,07/11/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",2.0,Automatic aid received,4 - Residential,419,1 or 2 family dwelling,Gahanna,OH,43230
25115,2025001110,07/11/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001109,07/11/2025,2025.0,611.0,Dispatched and cancelled en route,4.0,Automatic aid given,,,,Gahanna,OH,43230
25115,2025001108,07/11/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",4.0,Automatic aid given,,,,Gahanna,OH,43230
25115,2025001107,07/11/2025,2025.0,611.0,Dispatched and cancelled en route,,,,,,New Albany,OH,43054
25115,2025001106,07/11/2025,2025.0,6712.0,"CO Investigation, no detector - nothing found",,,4 - Residential,400,"Residential, other",Blacklick,OH,43004
25115,2025001105,07/11/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,1 - Assembly,142,Clubhouse,New Albany,OH,43054
25115,2025001104,07/10/2025,2025.0,745.0,"Alarm system activation, no fire - unintentional",,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001103,07/10/2025,2025.0,322.0,Motor vehicle accident with injuries,,,9 - Outside or Special Property,962,"Residential street, road or residential driveway",Gahanna,OH,43230
25115,2025001102,07/10/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",2.0,Automatic aid received,"5 - Mercantile, Business",592,Bank,Reynoldsburg,OH,43068
25115,2025001101,07/10/2025,2025.0,111.0,Building fire,4.0,Automatic aid given,,,,Blacklick,OH,43004
25115,2025001100,07/10/2025,2025.0,554.0,Assist invalid,,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001099,07/10/2025,2025.0,735.0,Alarm system sounded due to malfunction,,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001098,07/10/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001097,07/09/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,Gahanna,OH,43230
25115,2025001096,07/09/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001095,07/09/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",2.0,Automatic aid received,8 - Storage,891,Warehouse,Reynoldsburg,OH,43068
25115,2025001094,07/09/2025,2025.0,551.0,Assist police or other governmental agency,,,9 - Outside or Special Property,962,"Residential street, road or residential driveway",Blacklick,OH,43004
25115,2025001093,07/09/2025,2025.0,322.0,Motor vehicle accident with injuries,2.0,Automatic aid received,9 - Outside or Special Property,962,"Residential street, road or residential driveway",Blacklick,OH,43004
25115,2025001092,07/09/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,Gahanna,OH,43230
25115,2025001091,07/09/2025,2025.0,322.0,Motor vehicle accident with injuries,4.0,Automatic aid given,9 - Outside or Special Property,963,Street or road in commercial area,COLUMBUS,OH,43004
25115,2025001090,07/08/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",2.0,Automatic aid received,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001089,07/08/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001088,07/08/2025,2025.0,554.0,Assist invalid,,,4 - Residential,419,1 or 2 family dwelling,Reynoldsburg,OH,43068
25115,2025001087,07/08/2025,2025.0,322.0,Motor vehicle accident with injuries,2.0,Automatic aid received,9 - Outside or Special Property,962,"Residential street, road or residential driveway",New Albany,OH,43054
25115,2025001086,07/08/2025,2025.0,611.0,Dispatched and cancelled en route,4.0,Automatic aid given,,,,COLUMBUS,OH,43004
25115,2025001085,07/08/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",2.0,Automatic aid received,8 - Storage,891,Warehouse,Reynoldsburg,OH,43068
25115,2025001084,07/08/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",2.0,Automatic aid received,4 - Residential,429,Multifamily dwelling,Blacklick,OH,43004
25115,2025001083,07/07/2025,2025.0,322.0,Motor vehicle accident with injuries,4.0,Automatic aid given,,,,Reynoldsburg,OH,43068
25115,2025001082,07/07/2025,2025.0,6712.0,"CO Investigation, no detector - nothing found",,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001081,07/06/2025,2025.0,554.0,Assist invalid,,,4 - Residential,429,Multifamily dwelling,Gahanna,OH,43230
25115,2025001080,07/06/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",2.0,Automatic aid received,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001079,07/06/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,1 - Assembly,124,Playground,New Albany,OH,43054
25115,2025001078,07/06/2025,2025.0,611.0,Dispatched and cancelled en route,,,,,,Blacklick,OH,43004
25115,2025001077,07/06/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,429,Multifamily dwelling,Blacklick,OH,43004
25115,2025001076,07/05/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001075,07/05/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",2.0,Automatic aid received,"5 - Mercantile, Business",539,"Household goods, sales, repairs",Reynoldsburg,OH,43068
25115,2025001074,07/05/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001073,07/05/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",2.0,Automatic aid received,"5 - Mercantile, Business",571,"Service station, gas station",Reynoldsburg,OH,43068
25115,2025001072,07/05/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001071,07/05/2025,2025.0,554.0,Assist invalid,,,4 - Residential,429,Multifamily dwelling,Gahanna,OH,43230
25115,2025001070,07/04/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001069,07/04/2025,2025.0,743.0,"Smoke detector activation, no fire - unintentional",,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001068,07/04/2025,2025.0,322.0,Motor vehicle accident with injuries,2.0,Automatic aid received,9 - Outside or Special Property,963,Street or road in commercial area,JEFFERSON TWP,OH,43004
25115,2025001067,07/03/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,New Albany,OH,43054
25115,2025001066,07/03/2025,2025.0,611.0,Dispatched and cancelled en route,2.0,Automatic aid received,,,,Pataskala,OH,43062
25115,2025001065,07/03/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001064,07/03/2025,2025.0,324.0,Motor vehicle accident with no injuries.,2.0,Automatic aid received,9 - Outside or Special Property,963,Street or road in commercial area,Blacklick,OH,43004
25115,2025001063,07/02/2025,2025.0,743.0,"Smoke detector activation, no fire - unintentional",,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001062,07/02/2025,2025.0,324.0,Motor vehicle accident with no injuries.,,,9 - Outside or Special Property,962,"Residential street, road or residential driveway",Blacklick,OH,43004
25115,2025001061,07/02/2025,2025.0,733.0,Smoke detector activation due to malfunction,4.0,Automatic aid given,,,,Blacklick,OH,43004
25115,2025001060,07/02/2025,2025.0,745.0,"Alarm system activation, no fire - unintentional",,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001059,07/02/2025,2025.0,500.0,"Service call, other",,,4 - Residential,419,1 or 2 family dwelling,New Albany,OH,43054
25115,2025001058,07/02/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001057,07/02/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,8 - Storage,891,Warehouse,Gahanna,OH,43230
25115,2025001056,07/02/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,1 - Assembly,150,"Public or government, other",Blacklick,OH,43004
25115,2025001055,07/02/2025,2025.0,611.0,Dispatched and cancelled en route,4.0,Automatic aid given,,,,New Albany,OH,43054
25115,2025001054,07/02/2025,2025.0,611.0,Dispatched and cancelled en route,4.0,Automatic aid given,,,,New Albany,OH,43054
25115,2025001053,07/01/2025,2025.0,352.0,Extrication of victim(s) from vehicle,2.0,Automatic aid received,9 - Outside or Special Property,962,"Residential street, road or residential driveway",JEFFERSON TWP,OH,43004
25115,2025001052,07/01/2025,2025.0,733.0,Smoke detector activation due to malfunction,,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001051,06/30/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001050,06/30/2025,2025.0,6711.0,Odor of gas - nothing found,4.0,Automatic aid given,,,,Gahanna,OH,43230
25115,2025001049,06/30/2025,2025.0,611.0,Dispatched and cancelled en route,,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001048,06/29/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001047,06/29/2025,2025.0,743.0,"Smoke detector activation, no fire - unintentional",,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001046,06/29/2025,2025.0,561.0,Unauthorized burning,,,9 - Outside or Special Property,931,Open land or field,Blacklick,OH,43004
25115,2025001045,06/29/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001044,06/28/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",4.0,Automatic aid given,,,,Gahanna,OH,43230
25115,2025001043,06/28/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,8 - Storage,888,Fire station,Blacklick,OH,43004
25115,2025001042,06/28/2025,2025.0,733.0,Smoke detector activation due to malfunction,,,4 - Residential,419,1 or 2 family dwelling,New Albany,OH,43054
25115,2025001041,06/28/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,8 - Storage,888,Fire station,Blacklick,OH,43004
25115,2025001040,06/28/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001039,06/28/2025,2025.0,554.0,Assist invalid,,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001038,06/28/2025,2025.0,554.0,Assist invalid,,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001037,06/27/2025,2025.0,611.0,Dispatched and cancelled en route,,,,,,Blacklick,OH,43004
25115,2025001036,06/27/2025,2025.0,611.0,Dispatched and cancelled en route,2.0,Automatic aid received,,,,Reynoldsburg,OH,43068
25115,2025001035,06/27/2025,2025.0,554.0,Assist invalid,2.0,Automatic aid received,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001034,06/27/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001033,06/27/2025,2025.0,735.0,Alarm system sounded due to malfunction,,,4 - Residential,419,1 or 2 family dwelling,New Albany,OH,43054
25115,2025001032,06/27/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",4.0,Automatic aid given,,,,Reynoldsburg,OH,43068
25115,2025001031,06/27/2025,2025.0,554.0,Assist invalid,,,4 - Residential,419,1 or 2 family dwelling,Reynoldsburg,OH,43068
25115,2025001030,06/26/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,New Albany,OH,43054
25115,2025001029,06/26/2025,2025.0,611.0,Dispatched and cancelled en route,4.0,Automatic aid given,,,,Pataskala,OH,43062
25115,2025001028,06/26/2025,2025.0,733.0,Smoke detector activation due to malfunction,,,"6 - Industrial, Utility, Defense, Agriculture, Mining",639,Communications center,Reynoldsburg,OH,43068
25115,2025001027,06/26/2025,2025.0,131.0,Passenger vehicle fire,,,9 - Outside or Special Property,962,"Residential street, road or residential driveway",JEFFERSON TWP,OH,43004
25115,2025001026,06/26/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001025,06/25/2025,2025.0,324.0,Motor vehicle accident with no injuries.,,,9 - Outside or Special Property,962,"Residential street, road or residential driveway",JEFFERSON TWP,OH,43004
25115,2025001024,06/25/2025,2025.0,554.0,Assist invalid,,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001023,06/25/2025,2025.0,611.0,Dispatched and cancelled en route,4.0,Automatic aid given,,,,New Albany,OH,43054
25115,2025001022,06/25/2025,2025.0,554.0,Assist invalid,,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001021,06/25/2025,2025.0,611.0,Dispatched and cancelled en route,,,,,,Blacklick,OH,43004
25115,2025001020,06/24/2025,2025.0,611.0,Dispatched and cancelled en route,4.0,Automatic aid given,,,,Gahanna,OH,43230
25115,2025001019,06/24/2025,2025.0,611.0,Dispatched and cancelled en route,4.0,Automatic aid given,,,,Pataskala,OH,43062
25115,2025001018,06/24/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",2.0,Automatic aid received,"5 - Mercantile, Business",580,"General retail, other",Reynoldsburg,OH,43068
25115,2025001017,06/24/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",4.0,Automatic aid given,,,,Blacklick,OH,43004
25115,2025001016,06/24/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",4.0,Automatic aid given,,,,Blacklick,OH,43004
25115,2025001015,06/24/2025,2025.0,733.0,Smoke detector activation due to malfunction,,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001014,06/24/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",2.0,Automatic aid received,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001013,06/24/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
